impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-112966,A571724,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A571724,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Timmy,Cat,10 YEARS 3 MONTHS,Neutered Male,Domestic Longhair,Brn Tabby / White,10/15/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A571724,Image Copyright HLP Inc. 2019,"Received on: 2018-10-15<p/> Description: Brn Tabby / White<p/>  Neutered Male Domestic Longhair Cat<p/> Age: 10 YEARS 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Timmy and I am available for adoption.<p/><p/>I was brought in by my previous owner because they weren't allowed to have me where they lived.  My previous owner described me as friendly and outgoing.<p/><p/>My personality color is RED. I am spirited cat with a fun-loving personality!   I love to play, climb and explore my surroundings! I am a big cool playful cat!  I can be quite affectionate with calm people that I trust, but do get overstimulated with petting.  I prefer pets on my head, cheeks and chin.  I love to sit on laps, but please do not pick me up, I will happily jump onto your lap!  I would do best with a cat savvy family that knows when to give me some space.  <p/><p/>I am declawed on my front feet, so I will need to remain an indoor cat only.  <p/><p/>My caregivers have noticed that I do not seem to get along with other cats, I would like to be the King Cat of the house please!<p/><p/><p/> Adoption Fee: $30.00<p/>",RED
K19-114773,A573784,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A573784,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bella,Cat,1 YEAR 3 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,01/10/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A573784,Image Copyright HLP Inc. 2019,"Received on: 2019-01-10<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR 3 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Bella and I am available for adoption.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I'm a spunky and fun-loving little kitty ready for my furrrever home!  I'm such a sweetie and I love to play!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/> Adoption Fee: $30.00<p/>",RED
K19-114743,A578094,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A578094,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cali,Cat,10 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Tortie,01/08/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578094,Image Copyright HLP Inc. 2019,"Received on: 2019-01-08<p/> Description: Tortie<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 10 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cali and I am available for adoption.<p/><p/>I was brought in by my previous owners because they no longer could care for me due to their health declining.  My previous owner described me as affectionate.<p/><p/>My personality color is RED.  I am a quiet and calm cat that enjoys sleeping most of the day! I like people and can be quite affectionate, but please only pe me on my head and chin.  I am sensitive to being touched on my back or being picked up.  <p/><p/>If your looking for a sweet quiet girl to keep you company and cozy up on your lap, thats me!  I look forward to meeting my new furrever family!<p/><p/>I would do best in a quiet home with older children and only calm pets.  My caregivers have noticed I am okay with other cats as long as they are calm and not in my immediate space.  <p/><p/><p/> Adoption Fee: $30.00<p/>",RED
K19-115291,A579534,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959807,LOST,Lynx,Cat,,Male,Bengal,Unknown,02/01/2019 12:00:00 AM,Date Lost,20200 269TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959807,Image Copyright HLP Inc. 2019,,
K19-115266,A579460,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579460,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ned,Cat,11 YEARS,Neutered Male,Domestic Shorthair,Black,02/06/2019 12:00:00 AM,Received on,30000 164TH AVE SE,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579460,Image Copyright HLP Inc. 2019,"Received on: 2019-02-06<p/> Found Near: 30000 164TH AVE SE, KENT WA 98042<p/> Description: Black Neutered Male Domestic Shorthair Cat<p/> Age: 11 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-114769,A395796,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A395796,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jasmin,Cat,10 YEARS 1 MONTH,Spayed Female,Domestic Longhair,Brn Tabby,01/10/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A395796,Image Copyright HLP Inc. 2019,"Received on: 2019-01-10<p/> Description: Brn Tabby<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 10 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Jasmin and I am available for adoption.<p/><p/>I was brought in by my previous owner on January 10, 2019 because they were unable to care for me.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/> Adoption Fee: $30.00<p/>",RED
K19-115214,A579312,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579312,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tesla,Dog,3 YEARS 6 MONTHS,Spayed Female,Labrador Retriever / Mix,Black / White,02/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579312,Image Copyright HLP Inc. 2019,"Received on: 2019-02-02<p/> Description: Black / White<p/>  Spayed Female Labrador Retriever / Mix Dog<p/> Age: 3 YEARS 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Meet Tesla!<p/><p/>This sweet gal was brought into the shelter with her adopted sister, Luna, on 2/2/19.<p/><p/>We have noticed that Tesla seems to do well with other dogs. She has lived with dogs small and large. She will however chase cats given the opportunity. When meeting dogs in a new home, she would do best with a slow introduction.<p/><p/>Tesla relies on her dog sister, Luna, to show her the world is not such a scary place. She appears to be much more comfortable when she is with her companion. Tesla is slow to warm up to new people but she eventually does and is very affectionate. Because of her shy nature, she would do best in a calm, quiet home.<p/><p/>Tesla is house trained and crate trained.<p/><p/>Her personality color is BLUE. She is a gentle and loving dog who likes to take things slow. She may get nervous in new situations, so she am looking for a family who understands that Tesla might take some time to warm up. Once she gets to know you, she will be a very devoted friend!<p/><p/>Come meet lovely Tesla today!<p/><p/> Adoption Fee: $250.00<p/>",BLUE
K18-113004,A571907,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Prince,Cat,6 YEARS 3 MONTHS,Neutered Male,Domestic Mediumhair,Brn Tabby,10/16/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,BELLEVUE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A571907,Image Copyright HLP Inc. 2019,"Received on: 2018-10-16<p/> Description: Brn Tabby Neutered Male Domestic Mediumhair Cat<p/> Age: 6 YEARS 3 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Prince and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on October 16, 2018. <p/><p/>I have been in foster care because when I arrived at the shelter I was ill. But I'm feeling all better and I am ready to find my forever home!  My foster mom said that I'm very sweet and mellow, and I love to cuddle. I even prefer to sleep in bed with my humans!  I have beautiful fur and I love to be brushed!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>",GREEN
K19-115297,A579550,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959985,LOST,Boomer/johny,Cat,,Male,Norwegian Forest Cat,Unknown,01/09/2019 12:00:00 AM,Date Lost,130TH AND NE 8TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959985,Image Copyright HLP Inc. 2019,,
K19-115225,A579337,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579337,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nyssa,Cat,10 WEEKS,Female,Domestic Shorthair,Black / White,02/03/2019 12:00:00 AM,Received on,22800 126TH PL SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579337,Image Copyright HLP Inc. 2019,"Received on: 2019-02-03<p/> Found Near: 22800 126TH PL SE, KENT WA 98031<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-115311,A579634,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Pekingese,White,02/11/2019 12:00:00 AM,Received on,22700 SE 392ND ST,ENUMCLAW,WA,98022,KING COUNTY,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-02-11<p/> Found Near: 22700 SE 392ND ST, ENUMCLAW WA 98022<p/> Description: White Female Pekingese Dog<p/> Age: NO AGE<p/>",
K19-115299,A579597,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1960563,LOST,Bella,Dog,,Female,Pit Bull,Unknown,02/10/2019 12:00:00 AM,Date Lost,500 NE 131ST PL,SEATTLE,WA,98125,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1960563,Image Copyright HLP Inc. 2019,,
K18-109087,A497023,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A497023,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sasha,Cat,8 YEARS 8 MONTHS,Spayed Female,Domestic Longhair,Tortie / Gray,06/08/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A497023,Image Copyright HLP Inc. 2019,"Received on: 2018-06-08<p/> Description: Tortie / Gray<p/>  Spayed Female Domestic Longhair Cat<p/> Age: 8 YEARS 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Sasha and I am available for adoption.<p/><p/>I was brought in by my previous owner because the other cat in the house was stalking me and I did not like it.  They said I am a sweet cat that likes to be petted and belly rubs, but felt it was best to find her a new home where she could be the only cat.<p/><p/>My personality color is RED. I am a spirited and playful cat with a fun-loving personality!  I am affectionate and enjoy getting attention, but I can get overstimulated, so please look for signs that I am done being petted.  <p/><p/>My caregivers have noticed, I do not get along with other cats.  I would do best as the only pet in the home.<p/> Adoption Fee: $30.00<p/>",
K19-115302,A579616,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1960777,In Public Home,,Dog,,Female,Alaskan Husky,Brown,02/08/2019 12:00:00 AM,Date Found,12TH AVE S AND S PEARL ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1960777,Image Copyright HLP Inc. 2019,,
K19-115113,A579033,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579033,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rue,Cat,NO AGE,Female,Domestic Longhair,Black,01/27/2019 12:00:00 AM,Received on,11700 SE 256TH PL,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579033,Image Copyright HLP Inc. 2019,"Received on: 2019-01-27<p/> Found Near: 11700 SE 256TH PL, KENT WA 98030<p/> Description: Black Female Domestic Longhair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K1_-______,A557862,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A557862,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Shasta,Dog,1 YEAR -1 MONTHS,Spayed Female,Pointer / Mix,White / Red,02/02/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A557862,Image Copyright HLP Inc. 2019,"Received on: 2019-02-02<p/> Description: White / Red<p/>  Spayed Female Pointer / Mix Dog<p/> Age: 1 YEAR -1 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Shasta and I am available for adoption.<p/><p/>I was brought in by my previous owner on February 2, 2019  because their household was changing and that made me uncomfortable. I have lived in a home with another female dog and young children and I would like to live with a confident and stable dog. My previous owner described me as affectionate, shy, loving, and active.<p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>I am a nervous girl in the shelter environment, but I warm up quickly once I learn to trust you.  I am generally friendly with other dogs, but I would like to meet them first to make sure we're compatible.  I would be most suitable for a calm home that is ready to help me to become more socialized with different environments. But, I am very friendly and easy going with most people!<p/> Adoption Fee: $225.00<p/>",BLUE
K19-115312,A579635,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1960910,LOST,Goob,Cat,,Male,Russian Blue,Unknown,02/06/2019 12:00:00 AM,Date Lost,22400 SE 296TH ST,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1960910,Image Copyright HLP Inc. 2019,,
K19-114730,A578047,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lina,Dog,3 YEARS 1 MONTH,Spayed Female,Jack Russell Terrier / Mix,Red / White,01/07/2019 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578047,Image Copyright HLP Inc. 2019,"Received on: 2019-01-07<p/> Description: Red / White Spayed Female Jack Russell Terrier / Mix Dog<p/> Age: 3 YEARS 1 MONTH<p/> Current Location: In RASKC Foster Home <p/>Lina:. <p/><p/>Lina is a gentle loving dog who likes to take things slow. I may get nervous in new situations. It takes me a bit to warm up to strangers but when I do I'm all about cuddles and snuggles!<p/><p/>I need some work while on a leash. I tend to pull and want to explore. I can be a little vocal when I see people in my front yard, or  other dogs while I'm on a walk, but settle down with some reassurance form me foster mom. I love toys and enjoy playing in my back yard. I may be 3 years old but still have a puppy spirit and would love some training and learn some tricks!<p/><p/> My Foster home has a 4 year old child and I do well with her if she is gentle and loving. I play with my puppies but it's been awhile since I've been around other adult dogs so a slow introduction may be best. I may want to be the only dog in the home. It's all about the right connections. <p/><p/>I'm looking for a forever home with lots of love and attention. I get sad when my Foster mom goes to work. I get so excited when she comes home and jump for JOY!<p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>",
K19-115295,A579547,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A579547,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Morris,Cat,10 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/08/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579547,Image Copyright HLP Inc. 2019,"Received on: 2019-02-08<p/> Description: Org Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Morris and I am available for adoption.<p/><p/>I was brought in by a good samaritan on February 8th, 2018.<p/><p/>I'm a sweet, dainty, gentle, older guy who is looking for a nice, calm, relaxing home that I can kick back and relax in! I really love to sleep in and snooze the day away, binge all the shows on netflix, curl up to a great read or hang out by the fire. <p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/> Adoption Fee: $30.00<p/>",GREEN
K19-115314,A579648,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579648,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Budders,Dog,6 YEARS 8 MONTHS,Neutered Male,Labrador Retriever,Black,02/12/2019 12:00:00 AM,Received on,43100 208TH AVE SE,ENUMCLAW,WA,98022,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579648,Image Copyright HLP Inc. 2019,"Received on: 2019-02-12<p/> Found Near: 43100 208TH AVE SE, ENUMCLAW WA 98022<p/> Description: Black Neutered Male Labrador Retriever Dog<p/> Age: 6 YEARS 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-115276,A579497,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579497,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Warner,Cat,1 YEAR,Male,Domestic Shorthair,Black,02/07/2019 12:00:00 AM,Received on,21400 NE NOVELTY HILL RD,REDMOND,WA,98053,KING COUNTY,47.691923,-122.055537,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579497,Image Copyright HLP Inc. 2019,"Received on: 2019-02-07<p/> Found Near: 21400 NE NOVELTY HILL RD, REDMOND WA 98053<p/> Description: Black Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-115274,A579497,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1959464,In Public Home,Warner,Cat,,Male,Domestic Shorthair,Black,02/06/2019 12:00:00 AM,Date Found,NOVELTY HILL RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1959464,Image Copyright HLP Inc. 2019,,GREEN
K19-115278,A579501,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579501,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ophelia,Cat,3 YEARS,Male,Siamese / Mix,Lilac Pt / White,02/07/2019 12:00:00 AM,Received on,9000 LAKE WASHINGTON BLVD NE,BELLEVUE,WA,98004,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579501,Image Copyright HLP Inc. 2019,"Received on: 2019-02-07<p/> Found Near: 9000 LAKE WASHINGTON BLVD NE, BELLEVUE WA 98004<p/> Description: Lilac Pt / White Male Siamese / Mix Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K19-115313,A579643,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1960990,LOST,Rose,Cat,,Female,Domestic Shorthair,Unknown,02/11/2019 12:00:00 AM,Date Lost,WOODINVILLE DUVALL RD AND  NE 182ND PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1960990,Image Copyright HLP Inc. 2019,,
K13-066766,A407026,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kiki,Cat,16 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black,05/11/2013 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,FEDERAL WAY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A407026,Image Copyright HLP Inc. 2019,"Received on: 2013-05-11<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 16 YEARS 1 MONTH<p/> Current Location: In RASKC Foster Home <p/><p/>Hi, my name if Kiki.  I am a 10 year old lady who came to the shelter because my previous owner had to move and could not take me along.  If you love black kitties and you are looking for a calm influence, I could be the one for you.<p/><p/>I am slightly reserved but appreciate the attention you give me and like to have you pet my head.  I would do best in a home with no small children as I can be just a little bit shy.  I will make a good companion for the right person, so please come and see me soon.<p/><p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>",
K19-115316,A579652,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1961175,In Public Home,,Dog,,Female,Pit Bull,Brown / White,02/11/2019 12:00:00 AM,Date Found,4200 S 170TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1961175,Image Copyright HLP Inc. 2019,,
K19-115008,A578800,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A578800,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Snape,Cat,8 MONTHS,Neutered Male,Domestic Shorthair,Black / White,01/22/2019 12:00:00 AM,Received on,7200 S 116TH ST,SEATTLE,WA,98178,KING COUNTY,47.499778,-122.2432,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578800,Image Copyright HLP Inc. 2019,"Received on: 2019-01-22<p/> Found Near: 7200 S 116TH ST, SEATTLE WA 98178<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-115260,A579452,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579452,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bran,Cat,3 YEARS,Neutered Male,Domestic Longhair,Brn Tabby,02/06/2019 12:00:00 AM,Received on,13200 40TH AVE S,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579452,Image Copyright HLP Inc. 2019,"Received on: 2019-02-06<p/> Found Near: 13200 40TH AVE S, TUKWILA WA 98168<p/> Description: Brn Tabby Neutered Male Domestic Longhair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K18-113354,A566415,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kingston,Dog,6 YEARS 4 MONTHS,Neutered Male,Australian Shepherd / German Shepherd,Bl Brindle / Br Brindle,10/30/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,PIERCE COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A566415,Image Copyright HLP Inc. 2019,"Received on: 2018-10-30<p/> Description: Bl Brindle / Br Brindle Neutered Male Australian Shepherd / German Shepherd Dog<p/> Age: 6 YEARS 4 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Kingston and I am available for adoption in foster care. <p/><p/>I was brought in by my previous owner on September 20, 2018 because I was not settling into the business of my new home after moving cross country. My previous owner described me as very smart, sweet, gentle, and playful.<p/><p/>I am full of energy and I love to play! I especially love fetch, running, snow, and being outdoors! I also love playing with plushie squeaker toys and playing tug of war! Despite my high energy level, I am very patient. I love to please my people and my foster family says I am truly the definition of ""man's best friend"".<p/><p/>I walk great on leash. I love to be brushed and scratched and will sleep in bed with you in you let me! I am also super curious and will gladly follow you around and be your shadow. Think of me like an adorable assistant!<p/><p/>I am a very smart dog! I have shown my caregivers that I already know how to ""sit"", ""stay"", ""come"", and ""shake"" and I can't wait to learn more! I would do best with some additional positive reinforcement training so that I can learn to relax and trust. I can be a little standoffish at first, but if you give me a little time and patience I will bond with you and love you immensely!<p/><p/>My caregivers have observed that I might not get along with other dogs. I would do best in an adult only home and as the only fur kid in my new home as I do not like to share my people with other dogs and tend to chase cats. I would love to be able to get all your attention!<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality!  I am full of energy and I love to play! I do best when I have lots of exercise and something to keep my mind busy.  I would do best in a home without young children.<p/><p/>I am currently spending some time in a foster home. Please call the shelter at 206-296-3936 to learn how to meet me.<p/>Adoption Fee: $125.00<p/>",RED
K19-115275,A579496,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A579496,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Jazzy,Dog,2 YEARS,Female,Spaniel Mix,Black / White,02/07/2019 12:00:00 AM,Received on,25900 172ND AVE SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A579496,Image Copyright HLP Inc. 2019,"Received on: 2019-02-07<p/> Found Near: 25900 172ND AVE SE, COVINGTON WA 98042<p/> Description: Black / White Female Spaniel Mix Dog<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
