County,FIPS Code,Formatted FIPS,Estimated percent of adults reporting to be obese (a body mass i,Estimated percent of adults reporting to engage in binge drinkin,Estimated percent of adults reporting to be physically inactive ,"Rate of limited-service restaurants per 100,000 people in 2016.",State
Teton,56039,56039,27.73,16.74,26.8,89.64,Nevada/Whyoming
Johnson,56019,56019,27.29,15.3,27.26,81.4,Nevada/Whyoming
Converse,56009,56009,26.88,16.65,26.69,28.37,Nevada/Whyoming
Albany,56001,56001,26.06,19.23,27.62,71.88,Nevada/Whyoming
Lincoln,56023,56023,27.23,16.21,26.15,54.6,Nevada/Whyoming
Big Horn,56003,56003,27.28,15.27,27.78,33.63,Nevada/Whyoming
Crook,56011,56011,27.25,15.82,26.99,55.33,Nevada/Whyoming
Sheridan,56033,56033,28.14,15.26,28.91,77.34,Nevada/Whyoming
Niobrara,56027,56027,28.43,14.95,29.33,N/A,Nevada/Whyoming
Laramie,56021,56021,28.04,15.98,28.67,72.3,Nevada/Whyoming
Weston,56045,56045,26.87,15.98,26.87,55.93,Nevada/Whyoming
Washakie,56043,56043,27.95,15.08,29.17,71.43,Nevada/Whyoming
Goshen,56015,56015,27.84,15.15,29.02,66.45,Nevada/Whyoming
Hot Springs,56017,56017,27.54,14.44,29.01,145.56,Nevada/Whyoming
Platte,56031,56031,27.97,13.92,29.41,N/A,Nevada/Whyoming
Uinta,56041,56041,28.36,16.66,28.06,81.22,Nevada/Whyoming
Moffat,8081,08081,22.62,18.11,22.14,38.12,Colorado
Las Animas,8071,08071,23.91,14.57,26.55,75.85,Colorado
Weld,8123,08123,23.19,18.02,23.27,59.05,Colorado
Mesa,8077,08077,23.24,17.12,23.73,61.56,Colorado
Rio Blanco,8103,08103,22.15,18.45,21.04,74.49,Colorado
Gunnison,8051,08051,21.9,20.74,20.54,83.06,Colorado
Saguache,8109,08109,24.49,16.18,26.18,N/A,Colorado
Garfield,8045,08045,22.92,19.39,21.52,89.35,Colorado
Larimer,8069,08069,22.84,18.87,23.67,85.16,Colorado
Washington,8121,08121,22.68,16.74,22.99,N/A,Colorado
Lincoln,8073,08073,22.17,16.65,23.14,54.76,Colorado
Routt,8107,08107,22.57,19.76,20.42,110.14,Colorado
Baca,8009,08009,23.04,15.75,24.24,N/A,Colorado
Yuma,8125,08125,22.88,17.33,23.2,N/A,Colorado
Pueblo,8101,08101,24.52,15.65,26.88,65.63,Colorado
Park,8093,08093,23,16.07,21.05,30.89,Colorado
Montrose,8085,08085,23.89,16.13,24.76,53.9,Colorado
Kit Carson,8063,08063,22.96,17.37,23.07,75.19,Colorado
El Paso,8041,08041,23.44,17.97,22.81,67.63,Colorado
Montezuma,8083,08083,22.7,16.66,23.8,50.58,Colorado
Logan,8075,08075,23.97,17.03,24.5,50.16,Colorado
Grand,8049,08049,22.7,17.72,20.79,138.78,Colorado
Elbert,8039,08039,22.32,16,19.66,20.96,Colorado
Cheyenne,8017,08017,23.42,17.7,22.49,N/A,Colorado
Kiowa,8061,08061,23.18,17.42,23.22,N/A,Colorado
Eagle,8037,08037,22.82,19.26,21.41,91.3,Colorado
Jackson,8057,08057,23.24,16.14,23.54,N/A,Colorado
La Plata,8067,08067,22.86,17.64,22.6,90.26,Colorado
Prowers,8099,08099,24.07,16.84,25.67,89.91,Colorado
Huerfano,8055,08055,24.33,14.63,27,61.52,Colorado
Fremont,8043,08043,23.51,15.89,24.96,36.32,Colorado
Bent,8011,08011,24.42,16.53,25.67,N/A,Colorado
Morgan,8087,08087,24.42,16.73,25.2,42.31,Colorado
Archuleta,8007,08007,23.23,15.9,23.25,73.93,Colorado
San Miguel,8113,08113,22.56,19.53,20.51,169.36,Colorado
Otero,8089,08089,24.01,15.61,26.8,70,Colorado
Conejos,8021,08021,25.54,15.76,27.77,N/A,Colorado
Adams,8001,08001,23.64,17.93,23.62,71.31,Colorado
Costilla,8023,08023,25.92,12.9,29.53,N/A,Colorado
Delta,8029,08029,23.27,15.9,24.12,52.96,Colorado
Hinsdale,8053,08053,22.52,13.73,22.44,N/A,Colorado
Dolores,8033,08033,23.4,15.85,24.28,N/A,Colorado
Chaffee,8015,08015,22.78,16.33,22.98,114.7,Colorado
Pitkin,8097,08097,22.4,17.84,20.76,126.29,Colorado
Rio Grande,8105,08105,23.67,16.41,25.97,42.57,Colorado
Douglas,8035,08035,21.97,18.5,19.95,71.02,Colorado
Mineral,8079,08079,22.94,13.45,24.4,N/A,Colorado
Arapahoe,8005,08005,23.65,17.47,22.94,83.18,Colorado
Jefferson,8059,08059,22.9,17.22,22.27,78.76,Colorado
Crowley,8025,08025,24.26,16.32,26.04,N/A,Colorado
Boulder,8013,08013,22.02,18.55,21.89,88.38,Colorado
Custer,8027,08027,24.23,14.87,24.51,N/A,Colorado
Phillips,8095,08095,23.36,16.7,23.95,N/A,Colorado
Alamosa,8003,08003,23.93,17.27,25.67,98.35,Colorado
Summit,8117,08117,22.81,19.35,21.48,162.4,Colorado
Sedgwick,8115,08115,23.25,15.86,24.67,N/A,Colorado
Teller,8119,08119,23.07,15.24,21.38,68.55,Colorado
Ouray,8091,08091,22.61,15.89,21.46,87.34,Colorado
Clear Creek,8019,08019,22.68,15.73,20.92,131.35,Colorado
Lake,8065,08065,23.23,18.24,22.07,67.92,Colorado
San Juan,8111,08111,24.23,17.76,24.1,660.07,Colorado
Denver,8031,08031,24.43,18.85,25.79,97.28,Colorado
Gilpin,8047,08047,22.77,16.81,20.89,N/A,Colorado
Broomfield,8014,08014,22.54,19.05,22.79,121.91,Colorado
San Juan,49037,49037,21.86,18.11,27.71,39.6,Utah
Tooele,49045,49045,24.2,14.57,21.99,44.34,Utah
Box Elder,49003,49003,24.89,18.02,24.07,62.76,Utah
Millard,49027,49027,24.33,17.12,24.89,95.37,Utah
Garfield,49017,49017,25.02,18.45,24.56,157.82,Utah
Uintah,49047,49047,23.88,20.74,23.76,44.79,Utah
Emery,49015,49015,24.3,16.18,23.08,65.25,Utah
Kane,49025,49025,24.65,19.39,24.39,97.2,Utah
Grand,49019,49019,25.57,18.87,25.06,127.82,Utah
Juab,49023,49023,24.51,16.74,22.38,96.15,Utah
Duchesne,49013,49013,23.16,16.65,22.53,65.6,Utah
Iron,49021,49021,24.88,19.76,25.19,80.61,Utah
Beaver,49001,49001,24.72,15.75,24.92,154.77,Utah
Wayne,49055,49055,25,17.33,24.98,146.95,Utah
Washington,49053,49053,24.99,15.65,25.69,84.32,Utah
Utah,49049,49049,24.01,16.07,23.05,73.01,Utah
Summit,49043,49043,23.71,16.13,21.28,109.03,Utah
Sevier,49041,49041,24.73,17.37,24.61,81.45,Utah
Sanpete,49039,49039,23.95,17.97,23.89,53.08,Utah
Carbon,49007,49007,25.86,16.66,26.73,71.68,Utah
Cache,49005,49005,24.12,17.03,23.67,78.33,Utah
Wasatch,49051,49051,25.06,17.72,23.42,86.27,Utah
Rich,49033,49033,24.52,16,24.25,349.04,Utah
Salt Lake,49035,49035,24.76,17.7,24.43,91.38,Utah
Daggett,49009,49009,25.02,17.42,25.41,N/A,Utah
Piute,49031,49031,25.73,19.26,27.09,N/A,Utah
Weber,49057,49057,24.96,16.14,24.8,64.52,Utah
Davis,49011,49011,24.29,17.64,22.83,73.6,Utah
Morgan,49029,49029,23.5,16.84,20.8,29.19,Utah
