camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type
50018903,NORTHERN TIGER,MANHATTAN,225,LIBERTY ST,10280,2127860316,Chinese,2017-01-26T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41662362,HAPPY GARDEN,BROOKLYN,370,UTICA AVENUE,11213,7184676618,Chinese,2018-01-22T00:00:00+00:00,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,2018-01-22T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40686130,LITE BITES & GRILL,BROOKLYN,700,MANHATTAN AVENUE,11222,7183832820,American,2015-04-21T00:00:00+00:00,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,26,B,2015-04-21T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40694764,MANNY'S GRILL,BROOKLYN,1089,GRAND STREET,11211,7184868225,American,2016-02-17T00:00:00+00:00,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50002329,HONG KONG JACKIE CHINESE RESTAURANT,BRONX,610,MELROSE AVE,10455,7189939988,Chinese,2018-05-07T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,22,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50045193,THE BREAD FACTORY CAFE,MANHATTAN,470,7TH AVE,10018,2122796665,American,2017-06-29T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,44,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40591519,ALEX'S KITCHEN,STATEN ISLAND,170,SOUTH AVENUE,10303,3475241096,Soul Food,2017-09-13T00:00:00+00:00,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50040933,STARBUCKS,MANHATTAN,25,UNION SQ W,10003,6463366945,CafÃ©/Coffee/Tea,2017-11-20T00:00:00+00:00,Violations were cited in the following area(s).,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",Not Critical,,,,2018-10-09T06:00:44+00:00,Calorie Posting / Initial Inspection
40388672,NECTAR OF 82ND STREET,MANHATTAN,1090,MADISON AVENUE,10028,2127720916,American,2018-01-19T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2018-01-19T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41667036,UNCLE PAULS PIZZA NY,MANHATTAN,70,VANDERBILT AVENUE,10017,2129221200,Pizza/Italian,2018-06-19T00:00:00+00:00,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,45,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40792980,CHOCK FULL O' NUTS,BROOKLYN,1611,AVENUE M,11230,7183396164,CafÃ©/Coffee/Tea,2018-07-25T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41217194,LIBERTY RESTAURANT,QUEENS,12916,LIBERTY AVENUE,11419,7183234285,Chinese,2015-06-26T00:00:00+00:00,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Reopening Inspection
41039814,STARBUCKS,MANHATTAN,45,EAST   51 STREET,10022,2126888490,CafÃ©/Coffee/Tea,2018-06-04T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,2018-06-04T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50003572,TERRACE BAGELS,BROOKLYN,222-222A,PROSPECT PARK WEST,11215,7187683943,American,2015-12-31T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50015315,MY PIZZERIA,STATEN ISLAND,755,TARGEE ST,10304,7187207777,Pizza/Italian,2016-05-26T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,15,B,2016-05-26T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50042664,MR PURPLE,MANHATTAN,180,ORCHARD ST,10002,2122371790,American,2016-04-21T00:00:00+00:00,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,2016-04-21T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Re-inspection
50059343,JADE STAR KITCHEN,BROOKLYN,7008,18TH AVE,11204,7183317802,Chinese,2018-09-12T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,2018-09-12T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40966216,ALMOND,MANHATTAN,12,EAST   22 STREET,10010,2122287557,French,2016-09-13T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41692596,SPICE,QUEENS,4745,VERNON BOULEVARD,11101,7183927888,Thai,2017-03-29T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,7186619498,Delicatessen,2017-12-01T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41488532,THE COMMODORE,BROOKLYN,366,METROPOLITAN AVENUE,11211,7182187632,American,2017-07-22T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50056333,FAIRFIELD INN & SUITES MANHATTAN  NEW YORK CENTRAL PARK,MANHATTAN,538,W 58TH ST,10019,2127578550,American,2016-10-07T00:00:00+00:00,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,2018-10-09T06:00:44+00:00,Pre-permit (Non-operational) / Initial Inspection
50065446,POKE BAR,MANHATTAN,1333,BROADWAY,10018,2122444320,Hawaiian,2018-07-31T00:00:00+00:00,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,2018-10-09T06:00:44+00:00,Administrative Miscellaneous / Initial Inspection
41695322,CAFE G,MANHATTAN,315,5 AVENUE,10016,2126852304,CafÃ©/Coffee/Tea,2017-04-03T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,2017-04-03T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50004883,BREAD BROTHERS BAGEL CAFE,BROOKLYN,220,BUSHWICK AVE,11206,7183815400,Bagels/Pretzels,2015-07-14T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,2015-07-14T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50060601,AMENDMENT 18 (entrance on Dock Street),STATEN ISLAND,691,BAY ST,10304,7183448927,American,2018-03-23T00:00:00+00:00,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,33,Not Yet Graded,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
41699935,KATHY'S DUMPLING,BROOKLYN,7924,3 AVENUE,11209,7188337000,Chinese,2016-11-19T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,2016-11-19T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50004505,RED STAR,MANHATTAN,2060,ACP JR BLVD,10027,2128063988,Chinese,2015-10-07T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25,B,2015-10-07T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41222832,BROADWAY COMEDY CLUB,MANHATTAN,318,WEST 53 STREET,10019,2127572323,American,2018-02-06T00:00:00+00:00,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41707677,BOULTON & WATT,MANHATTAN,5,AVENUE A,10009,6464906004,American,2016-04-30T00:00:00+00:00,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2018-10-09T06:00:47+00:00,Administrative Miscellaneous / Initial Inspection
41041142,ROGUE,MANHATTAN,757,6 AVENUE,10010,2122426434,American,2018-06-25T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,2018-06-25T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50049907,3 IN 1 KITCHEN,BROOKLYN,4902,FORT HAMILTON PKWY,11219,7184377744,American,2016-12-28T00:00:00+00:00,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,20,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41338311,DIAMOND FOREST YAN'S CHINESE KITCHEN,STATEN ISLAND,356,FOREST AVENUE,10301,7187206669,Chinese,2018-04-05T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50042648,CAPO BAR & GRILL,QUEENS,7813,ROOSEVELT AVE,11372,6465081042,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-12-18T00:00:00+00:00,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,22,,,2018-10-09T06:00:44+00:00,Pre-permit (Non-operational) / Initial Inspection
50042788,Q Q STAR,BROOKLYN,9212,4TH AVE,11209,7188338078,Chinese,2016-02-17T00:00:00+00:00,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,2016-02-17T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50019233,MARTHA STEWART CAFE,MANHATTAN,601,W 26TH ST,10001,2128278789,CafÃ©/Coffee/Tea,2018-05-18T00:00:00+00:00,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,2018-05-18T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50055159,MASAKARI FUSION,BROOKLYN,1631,SHEEPSHEAD BAY RD,11235,7183323899,Japanese,2018-05-17T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,2018-05-17T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50013511,THE WILD SON,MANHATTAN,53,LITTLE WEST 12TH STREET,10014,2124880000,Spanish,2016-10-06T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,2016-10-06T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50001857,SUNSET BAGELS,BROOKLYN,4903,5 AVE,11220,7184370905,Bagels/Pretzels,2016-02-17T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,14,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40390409,THE FAMOUS JIMBO'S HAMBURGER PALACE,MANHATTAN,1345,AMSTERDAM AVENUE,10027,2128658777,Hamburgers,2018-04-25T00:00:00+00:00,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2018-10-09T06:00:44+00:00,Administrative Miscellaneous / Initial Inspection
40742990,DOMINO'S,BRONX,738,MORRIS PARK AVENUE,10462,7188226010,Pizza,2016-11-09T00:00:00+00:00,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,18,B,2016-11-09T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50073652,HOT BAGELS ON 5TH,BROOKLYN,523,5TH AVE,11215,7187681052,American,2018-02-15T00:00:00+00:00,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,18,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50017341,GREGORY'S COFFEE,MANHATTAN,350,HUDSON ST,10014,9852641540,CafÃ©/Coffee/Tea,2016-08-12T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40855992,FAMOUS BAGEL BUFFET,MANHATTAN,510,6 AVENUE,10011,2129248911,American,2015-07-30T00:00:00+00:00,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2018-10-09T06:00:44+00:00,Administrative Miscellaneous / Initial Inspection
50060047,BRAVO PIZZA,MANHATTAN,107,W 37TH ST,10018,9177477156,Jewish/Kosher,2018-03-01T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,40,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50070209,TAI THAI,MANHATTAN,78,E 1ST ST,10009,2127772552,Thai,2018-08-17T00:00:00+00:00,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,23,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50001823,HANCO'S,BROOKLYN,134,SMITH STREET,11201,7188586818,Vietnamese/Cambodian/Malaysia,2016-10-17T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40536599,OLIVE TREE,MANHATTAN,1420,BROADWAY,10018,2128400999,American,2018-03-02T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,18,B,2018-03-02T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50057117,SNOWFOX,MANHATTAN,24,E 23RD ST,10010,6469983030,Japanese,2018-06-05T00:00:00+00:00,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13,A,2018-06-05T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
40660748,ALTA,MANHATTAN,64,WEST   10 STREET,10011,2125057777,American,2015-12-10T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50043497,BKLYN PIZZA CO.,BROOKLYN,36,RALPH AVE,11221,7184848787,Pizza/Italian,2016-08-30T00:00:00+00:00,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,41,,,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Initial Inspection
50055392,BRAVO AFRICAN RESTAURANT 2,BRONX,3744,WHITE PLAINS RD,10467,3472190481,African,2017-08-10T00:00:00+00:00,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41637672,DON POLLO,QUEENS,8302,95TH AVE,11416,7186470007,Peruvian,2016-06-17T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,2016-06-17T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41678685,THE BUTCHER'S DAUGHTER,MANHATTAN,19,KENMARE STREET,10012,2122193434,Vegetarian,2015-12-28T00:00:00+00:00,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,2018-10-09T06:00:44+00:00,Administrative Miscellaneous / Initial Inspection
50039749,DIM SUM BAR,BROOKLYN,167,GRAND ST,11249,7183888988,Chinese,2018-02-08T00:00:00+00:00,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,2018-02-08T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
41661174,V {iv} Thai Restaurant & Bar,MANHATTAN,138,EAST   34 STREET,10016,2122133317,Thai,2017-04-20T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50016671,APERITIF,QUEENS,21341,39TH AVE,11361,7182156470,French,2016-08-10T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,2016-08-10T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41570741,JEN'S ROTI SHOP,BROOKLYN,825,FLATBUSH AVENUE,11226,3474654722,Caribbean,2018-04-26T00:00:00+00:00,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,2018-04-26T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
40371727,LA PALINA RESTAURANT,BROOKLYN,159,AVENUE O,11204,7182369764,Italian,2016-06-28T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2016-06-28T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Re-inspection
50069837,WASABI SUSHI & BENTO,MANHATTAN,1,PENN PLZ CONCOURSE LEVEL,10119,6466494433,Japanese,2018-05-30T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50004431,CITIZENS OF CHELSEA,MANHATTAN,401,W 25TH ST,10001,6466493079,American,2015-08-05T00:00:00+00:00,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,8,A,2015-08-05T00:00:00+00:00,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50039472,ARTH ALGANATIN,BRONX,700,RHINELANDER AVE,10462,7189189181,Middle Eastern,2017-06-27T00:00:00+00:00,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50042039,PEKING TASTE,STATEN ISLAND,240,PAGE AVE,10307,7189661900,Chinese,2017-02-13T00:00:00+00:00,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
50034815,TERIYAKI BURRITO HOUSE,BROOKLYN,96,DEKALB AVE,11201,9174000800,Asian,2015-08-25T00:00:00+00:00,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,2015-08-25T00:00:00+00:00,2018-10-09T06:00:44+00:00,Pre-permit (Operational) / Re-inspection
41096117,KOI,MANHATTAN,40,WEST   40 STREET,10018,2129213330,Japanese,2016-12-01T00:00:00+00:00,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
41188631,HUNAN DELIGHT,BROOKLYN,752,UNION STREET,11215,7187891400,Chinese,2017-05-17T00:00:00+00:00,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,,,2018-10-09T06:00:44+00:00,Cycle Inspection / Initial Inspection
