Title,Authors,Journal,Publication date,Research area,Cell Line,Cell Type,Species,Analyzer,XF Assay,Plate Reader Assay,Seeding density,Plate coating
_-Adrenergic signaling blocks murine CD8(+) T-cell metabolic reprogramming during activation: a mechanism for immunosuppression by adrenergic stress,"G. Qiao, M. J. Bucsek, N. M. Winder, M. Chen, T. Giridharan, S. H. Olejniczak, B. L. Hylander and E. A. Repasky",Cancer Immunol Immunother,Sep 18 2018 12:00 AM,Immunology Research,T-cells,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
_-Adrenergic signaling blocks murine CD8(+) T-cell metabolic reprogramming during activation: a mechanism for immunosuppression by adrenergic stress,"G. Qiao, M. J. Bucsek, N. M. Winder, M. Chen, T. Giridharan, S. H. Olejniczak, B. L. Hylander and E. A. Repasky",Cancer Immunol Immunother,Sep 18 2018 12:00 AM,Neurobiology Research,T-cells,Immune Cells,Mouse,96,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
_-Adrenergic signaling blocks murine CD8(+) T-cell metabolic reprogramming during activation: a mechanism for immunosuppression by adrenergic stress,"G. Qiao, M. J. Bucsek, N. M. Winder, M. Chen, T. Giridharan, S. H. Olejniczak, B. L. Hylander and E. A. Repasky",Cancer Immunol Immunother,Sep 18 2018 12:00 AM,Immunology Research,T-cells,Immune Cells,Mouse,96,Glycolysis Stress Test,,Not Specified,Not Specified
_-Adrenergic signaling blocks murine CD8(+) T-cell metabolic reprogramming during activation: a mechanism for immunosuppression by adrenergic stress,"G. Qiao, M. J. Bucsek, N. M. Winder, M. Chen, T. Giridharan, S. H. Olejniczak, B. L. Hylander and E. A. Repasky",Cancer Immunol Immunother,Sep 18 2018 12:00 AM,Neurobiology Research,T-cells,Immune Cells,Mouse,96,Glycolysis Stress Test,,Not Specified,Not Specified
_-alanine suppresses malignant breast epithelial cell aggressiveness,"Vaughan RA, Gannon NP, Garcia-Smith R, Licon-Munoz Y, Barberena MA, Bisoffi M, Trujillo KA.",Mol Cancer,Jan 1 2014 12:00 AM,Cancer Research,MCF10A,Breast Cells,Human,24,Cell Mitochondrial Stress Test,,5x10^5 cells/well,Not Specified
_-alanine suppresses malignant breast epithelial cell aggressiveness,"Vaughan RA, Gannon NP, Garcia-Smith R, Licon-Munoz Y, Barberena MA, Bisoffi M, Trujillo KA.",Mol Cancer,Jan 1 2014 12:00 AM,Cancer Research,MCF-7,Breast Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5x10^5 cells/well,Not Specified
_-Aminoisobutyric acid induces browning of white fat and hepatic _-oxidation and is inversely correlated with cardiometabolic risk factors,"Roberts LD, Bostr�m P, OSullivan JF, Schinzel RT, Lewis GD, Dejam A, Lee YK, Palma MJ, Calhoun G, Georgiadi A, Chen MH, Ramachandran V9, Larson MG, Bouchard C, Rankinen T, Souza AL, Clish CB, Wang TJ, Estall JL, Soukas AA, Cowan CA, Spiegelman BM, Gerszt",Cell Metab,Jan 1 2014 12:00 AM,Stem Cell Biology,iPSC,Stem cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Gelatin
_-Aminoisobutyric acid induces browning of white fat and hepatic _-oxidation and is inversely correlated with cardiometabolic risk factors,"Roberts LD, Bostr�m P, OSullivan JF, Schinzel RT, Lewis GD, Dejam A, Lee YK, Palma MJ, Calhoun G, Georgiadi A, Chen MH, Ramachandran V9, Larson MG, Bouchard C, Rankinen T, Souza AL, Clish CB, Wang TJ, Estall JL, Soukas AA, Cowan CA, Spiegelman BM, Gerszt",Cell Metab,Jan 1 2014 12:00 AM,Stem Cell Biology,iPSC,Stem cells,Mouse,24,Cell Mitochondrial Stress Test,,Not Specified,Gelatin
"_-Catenin, a Wnt/_-catenin modulator, reveals inducible mutagenesis promoting cancer cell survival adaptation and metabolic reprogramming","Nopparat J, Zhang J, Lu JP, Chen YH, Zheng D, Neufer PD, Fan JM, Hong H, Boykin C, Lu Q",Oncogene,Apr 1 2014 12:00 AM,Cancer Research,CWR22-Rv1,Prostate Carcinoma cells,Human,24,Glucose Utilization,,2.0x10^4 cells/well,Not Specified
_III-Tubulin alters glucose metabolism and stress response signaling to promote cell survival and proliferation in glucose-starved non-small cell lung cancer cells,"Parker AL, Turner N, McCarroll JA, Kavallaris M",Carcinogenesis,May 1 2016 12:00 AM,Cancer Research,H460,Lung cancer cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
_III-Tubulin alters glucose metabolism and stress response signaling to promote cell survival and proliferation in glucose-starved non-small cell lung cancer cells,"Parker AL, Turner N, McCarroll JA, Kavallaris M",Carcinogenesis,May 1 2016 12:00 AM,Cancer Research,A549,Lung cancer cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
_III-Tubulin alters glucose metabolism and stress response signaling to promote cell survival and proliferation in glucose-starved non-small cell lung cancer cells,"Parker AL, Turner N, McCarroll JA, Kavallaris M",Carcinogenesis,May 1 2016 12:00 AM,Cancer Research,H460,Lung cancer cells,Human,24,Glucose Utilization,,Not Specified,Not Specified
_III-Tubulin alters glucose metabolism and stress response signaling to promote cell survival and proliferation in glucose-starved non-small cell lung cancer cells,"Parker AL, Turner N, McCarroll JA, Kavallaris M",Carcinogenesis,May 1 2016 12:00 AM,Cancer Research,A549,Lung cancer cells,Human,24,Glucose Utilization,,Not Specified,Not Specified
_-lapachone prevents diet-induced obesity by increasing energy expenditure and stimulating the browning of white adipose tissue via down-regulation of miR-382 expression,"Choi WH, Ahn J, Jung CH, Jang YJ, Ha TY",Diabetes,May 1 2016 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",SVF,Preadipocytes,Mouse,24,Substrate utilization,,Not Specified,Not Specified
_-Naphthoflavone-Induced Mitochondrial Respiratory Damage in Cyp1 Knockout Mouse and in Cell Culture Systems: Attenuation by Resveratrol Treatment,"Anandasadagopan SK, Singh NM, Raza H, Bansal S, Selvaraj V, Singh S, Chowdhury AR, Leu NAAvadhani NG",Oxidative Medicine and Cellular Longevity,Sep 14 2017 12:00 AM,Toxicology Research,Isolated mitochondria,Isolated mitochondria,Mouse,24,Cell Mitochondrial Stress Test,,10 ug/well,Poly-L-lysine
_-Aminobutyric Acid Signaling in Brown Adipose Tissue Promotes Systemic Metabolic Derangement in Obesity,"R. Ikegami, I. Shimizu, T. Sato, Y. Yoshida, Y. Hayashi, M. Suda, G. Katsuumi, J. Li, T. Wakasugi, Y. Minokoshi, S. Okamoto, E. Hinoi, S. Nielsen, N. Z. Jespersen, C. Scheele, T. Soga and T. Minamino",Cell Rep,Sep 11 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Brown adipocytes,Adipocytes,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^3 cells/well,Not Specified
_-Aminobutyric Acid Signaling in Brown Adipose Tissue Promotes Systemic Metabolic Derangement in Obesity,"R. Ikegami, I. Shimizu, T. Sato, Y. Yoshida, Y. Hayashi, M. Suda, G. Katsuumi, J. Li, T. Wakasugi, Y. Minokoshi, S. Okamoto, E. Hinoi, S. Nielsen, N. Z. Jespersen, C. Scheele, T. Soga and T. Minamino",Cell Rep,Sep 11 2018 12:00 AM,Drug Discovery,Brown adipocytes,Adipocytes,Mouse,24,Cell Mitochondrial Stress Test,,2.0 x10^3 cells/well,Not Specified
(-)-Hydroxycitric Acid Reduced Lipid Droplets Accumulation Via Decreasing Acetyl-Coa Supply and Accelerating Energy Metabolism in Cultured Primary Chicken Hepatocytes,"Li L, Peng M, Ge C, Yu LMa H",Cell Physiol Biochem,Sep 28 2017 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Hepatocytes,Hepatocytes,Chicken,96,Cell Mitochondrial Stress Test,,5.0 x10^5 cells/well,Not Specified
(-)-Hydroxycitric Acid Reduced Lipid Droplets Accumulation Via Decreasing Acetyl-Coa Supply and Accelerating Energy Metabolism in Cultured Primary Chicken Hepatocytes,"Li L, Peng M, Ge C, Yu LMa H",Cell Physiol Biochem,Sep 28 2017 12:00 AM,Toxicology Research,Hepatocytes,Hepatocytes,Chicken,96,Cell Mitochondrial Stress Test,,5.0 x10^5 cells/well,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Cancer Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Toxicology Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Toxicology Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5.0 x10^4 cells/well,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Cancer Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5.0 x10^4 cells/well,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Cancer Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5.0 x10^4 cells/well,Not Specified
(-)-UB006: A new fatty acid synthase inhibitor and cytotoxic agent without anorexic side effects,"Makowski K, Mir JF, Mera P, Ariza X, Asins G, Hegardt FG, Herrero L, Garcia JSerra D",Eur J Med Chem,May 5 2017 12:00 AM,Toxicology Research,OVCAR3,Ovarian Cancer Cells,Human,24,Cell Mitochondrial Stress Test,,5.0 x10^4 cells/well,Not Specified
(Pro)renin Receptor Inhibition Reprograms Hepatic Lipid Metabolism and Protects Mice From Diet-Induced Obesity and Hepatosteatosis,"L. Ren, Y. Sun, H. Lu, D. Ye, L. Han, N. Wang, A. Daugherty, F. Li, M. Wang, F. Su, W. Tao, J. Sun, N. Zelcer, A. E. Mullick, A. H. J. Danser, Y. Jiang, Y. He, X. Ruan and X. Lu",Circ Res,Mar 2 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",Hepatocytes,Hepatocytes,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
(Pro)renin Receptor Inhibition Reprograms Hepatic Lipid Metabolism and Protects Mice From Diet-Induced Obesity and Hepatosteatosis,"L. Ren, Y. Sun, H. Lu, D. Ye, L. Han, N. Wang, A. Daugherty, F. Li, M. Wang, F. Su, W. Tao, J. Sun, N. Zelcer, A. E. Mullick, A. H. J. Danser, Y. Jiang, Y. He, X. Ruan and X. Lu",Circ Res,Mar 2 2018 12:00 AM,Hepatobiology Research,Hepatocytes,Hepatocytes,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Translational Research,HME,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Food & Nutritional Research,HME,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Cancer Research,HME,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Translational Research,HME-LT,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Food & Nutritional Research,HME-LT,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Cancer Research,HME-LT,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.5 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Translational Research,HME-PR,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.0 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Food & Nutritional Research,HME-PR,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.0 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D regulation of glutamine synthetase and glutamine metabolism in human mammary epithelial cells",Beaudin SWelsh J,Endocrinology,Sep 28 2017 12:00 AM,Cancer Research,HME-PR,Breast Epithelial Cells,Human,XFp,Mito Fuel Flex Test,,2.0 x10^4 cells/well,Not Specified
"1,25-Dihydroxyvitamin D3 modulates the effects of sublethal BPA on mitochondrial function via activating PI3K-Akt pathway and 17_-estradiol secretion in rat granulosa cells","C. T. Lee, J. Y. Wang, K. Y. Chou and M. I. Hsu",J Steroid Biochem Mol Biol,Sep 5 2018 12:00 AM,Toxicology Research,Granulosa cells,Ovarian Cells,Rat,24,Cell Mitochondrial Stress Test,,2.5 x10^5 cells/well,Not Specified
"10E,12Z-conjugated linoleic acid impairs adipocyte triglyceride storage by enhancing fatty acid oxidation, lipolysis, and mitochondrial reactive oxygen species","Den Hartigh LJ, Han CY, Wang S, Omer M, Chait A",J Lipid Res,Nov 1 2013 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Fibroblasts,Mouse,96,Fatty Acid Oxidation,,Not Specified,Not Specified
"10E,12Z-conjugated linoleic acid impairs adipocyte triglyceride storage by enhancing fatty acid oxidation, lipolysis, and mitochondrial reactive oxygen species","Den Hartigh LJ, Han CY, Wang S, Omer M, Chait A",J Lipid Res,Nov 1 2013 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Fibroblasts,Mouse,96,Basal Metabolic Assay,,Not Specified,Not Specified
11_-HSD1 reduces metabolic efficacy and adiponectin synthesis in hypertrophic adipocytes,"Koh EH, Kim AR, Kim H, Kim JH, Park HS, Ko MS, Kim MO, Kim HJ, Kim BJ, Yoo HJ, Kim SJ, Oh JS, Woo CY, Jang JE, Leem J, Cho MH, Lee KU",J Endocrinol,Jun 1 2015 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Preadipocytes,Mouse,24,Cell Mitochondrial Stress Test,,4.0 x10^4 cells/well,Not Specified
11_-HSD1 reduces metabolic efficacy and adiponectin synthesis in hypertrophic adipocytes,"Koh EH, Kim AR, Kim H, Kim JH, Park HS, Ko MS, Kim MO, Kim HJ, Kim BJ, Yoo HJ, Kim SJ, Oh JS, Woo CY, Jang JE, Leem J, Cho MH, Lee KU",J Endocrinol,Jun 1 2015 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Preadipocytes,Mouse,24,Basal Metabolic Assay,,4.0 x10^4 cells/well,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,Cell Physiology Research,C2C12,Muscle cells,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",C2C12,Muscle cells,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,Cell Physiology Research,3T3-L1,Preadipocytes,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Preadipocytes,Mouse,Not Specified,Cell Mitochondrial Stress Test,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,Cell Physiology Research,C2C12,Muscle cells,Mouse,Not Specified,Fatty Acid Oxidation,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",C2C12,Muscle cells,Mouse,Not Specified,Fatty Acid Oxidation,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,Cell Physiology Research,3T3-L1,Preadipocytes,Mouse,Not Specified,Fatty Acid Oxidation,,Not Specified,Not Specified
"12,13-diHOME: An Exercise-Induced Lipokine that Increases Skeletal Muscle Fatty Acid Uptake","K. I. Stanford, M. D. Lynes, H. Takahashi, L. A. Baer, P. J. Arts, F. J. May, A. C. Lehnig, R. J. W. Middelbeek, J. J. Richard, K. So, E. Y. Chen, F. Gao, N. R. Narain, G. Distefano, V. K. Shettigar, M. F. Hirshman, M. T. Ziolo, M. A. Kiebish, Y. H. Tseng",Cell Metab,May 1 2018 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Preadipocytes,Mouse,Not Specified,Fatty Acid Oxidation,,Not Specified,Not Specified
18O-Tracer Metabolomics Reveals Protein Turnover and CDP-Choline Cycle Activity in Differentiating 3T3-L1 Pre-Adipocytes,"Kirkwood JS, Miranda CL, Bobe G, Maier CS, Stevens JF",PLoS One,Jun 1 2016 12:00 AM,"Obesity, Diabetes, & Metabolic Disorders",3T3-L1,Preadipocytes,Mouse,24,Basal Metabolic Assay,,3.0 x10^4 cells/well,Not Specified
"1a,25-Dihydroxyvitamin D3 Regulates Mitochondrial Oxygen Consumption and Dynamics in Human Skeletal Muscle Cells","Ryan ZC, Craig TA, Folmes CD, Wang X, Lanza IR, Schaible NS, Salisbury JL, Nair KS, Terzic A, Sieck GC, Kumar R",J Biol Chem,Nov 1 2015 12:00 AM,Cell Physiology Research,Skeletal Muscle Cells,Muscle cells,Human,24,Cell Mitochondrial Stress Test,,3.5 x10^3 cells/well,Not Specified
2016: A �Mitochondria� Odyssey,"Cherry C, Thompson B, Naptarshi N, Wu J, Hoh J",Trends Mol Med,Apr 1 2016 12:00 AM,Cell Physiology Research,N/A (review),Not Specified,Not Specified,96,Review Article,,Not Specified,Not Specified
2B4 Mediates Inhibition of CD8(+) T Cell Responses via Attenuation of Glycolysis and Cell Division,"S. J. Laurie, D. Liu, M. E. Wagener, P. C. Stark, C. Terhorst and M. L. Ford",J Immunol,Sep 1 2018 12:00 AM,Immunology Research,Splenocytes,Splenocytes,Mouse,96,Glycolysis Stress Test,,2.0 x10^5 cells/well,Not Specified
2-deoxy-D-glucose augments photodynamic therapy induced mitochondrial caspase-independent apoptosis and energy-mediated autophagy,"X. Feng, Y. Shi, L. Xie, K. Zhang, X. Wang, Q. Liu and P. Wang",Lasers Surg Med,Sep 17 2018 12:00 AM,Cancer Research,MDA-MB-231,Breast Cancer Cells,Human,Xfp,Cell Mitochondrial Stress Test,,1.5 x10^5 cells/well,Not Specified
2-Deoxy-d-Glucose Can Complement Doxorubicin and Sorafenib to Suppress the Growth of Papillary Thyroid Carcinoma Cells,"Wang SY, Wei YH, Shieh DB, Lin LL, Cheng SP, Wang PW, Chuang JH",PLoS One,Jul 1 2015 12:00 AM,Cancer Research,BCPAP,Thyroid Carcinoma Cells,Human,96,Basal Metabolic Assay,,Not Specified,Not Specified
