State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ARIZONA,MARICOPA,2016-9,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,03/28/2016,30,5,180,INSTALLED AND USED,180,894,,"160,984","8,665","433,891","120,399",21,,,,,14,,
ARIZONA,MARICOPA,2016-10,MCCOY,MONTGOMERY,DRUGS - ILLEGAL,"WC,TX",D,05/26/2016,30,5,180,INSTALLED AND USED,169,67,302,"11,380","5,251","174,157","16,745",4,,,,,,,
ARIZONA,MARICOPA,2016-11,MCCOY,BARRICK,DRUGS - ILLEGAL,WC,D,09/19/2016,30,4,150,INSTALLED AND USED,69,454,4,"31,362",833,"476,659","24,000",9,,,,,5,,
ARIZONA,MARICOPA,2017-9,MYERS,MONTGOMERY,NARCOTICS,"WC,TX",D,11/10/2016,30,1,60,INSTALLED AND USED,51,111,,"5,704",598,,,9,0,0,0,0,3,,
ARIZONA,MARICOPA,2017-10,MYERS,MONTGOMERY,NARCOTICS,"WC,TX",D,01/18/2017,30,0,30,INSTALLED AND USED,16,18,,292,3,,,0,0,0,0,0,0,,
ARIZONA,MARICOPA,2017-11,MYERS,ALLEMAN,CONSPIRACY,"WC,AP",D,06/20/2016,30,14,389,INSTALLED AND USED,261,0,85,16,,"369,468","46,276",17,,,,,14,,
ARIZONA,MARICOPA,2017-12,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,03/07/2017,30,1,60,INSTALLED AND USED,40,,,,,"27,787",742,1,,,,,,,
ARIZONA,MARICOPA,2017-13,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,11/22/2016,30,5,180,INSTALLED AND USED,180,193,369,"34,841","10,137","264,604","26,135",3,,,,,,,
ARIZONA,MARICOPA,2017-14,GRANVILLE,BARRICK,DRUGS - ILLEGAL,"WC,TX",D,05/22/2017,30,6,210,INSTALLED AND USED,73,92,54,"6,781","2,346",,,,,,,,,,
ARIZONA,MARICOPA,2017-15,MYERS,BARRICK,CONSPIRACY,"WC,TX",D,06/20/2017,30,2,90,INSTALLED AND USED,46,108,15,"5,000","4,000","205,351","30,351",2,,,,,2,,
ARIZONA,MARICOPA,2017-16,GATES,CROWLEY,POSSESSION,WC,D,07/11/2017,30,0,30,INSTALLED AND USED,30,0,,1,,"32,820","8,960",2,,,,,,,
ARIZONA,MARICOPA,2017-17,GATES,CROWLEY,DRUGS - ILLEGAL,"WC,TX",D,02/17/2017,30,9,300,INSTALLED AND USED,300,140,16,"42,225","8,692","507,681","29,553",24,,,,,17,,
ARIZONA,MARICOPA,2017-18,GATES,CROWLEY,DRUGS - ILLEGAL,WC,D,11/06/2017,30,0,30,INSTALLED AND USED,4,21,5,84,30,"4,625",625,4,,,,,,,
ARIZONA,MARICOPA,2017-19,MYERS,MONTGOMERY,DRUGS - ILLEGAL,"WC,OM,TX",D,09/14/2017,30,5,180,INSTALLED AND USED,68,75,49,"5,101","1,725","107,000","19,000",8,,,,,,,
ARIZONA,PIMA,2015-1,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,02/26/2015,30,0,30,INSTALLED AND USED,30,501,70,"15,059",636,"3,761","1,013",0,0,,,,0,,
ARIZONA,PIMA,2015-2,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,12/10/2014,30,3,120,INSTALLED AND USED,120,83,81,"10,069","2,129","79,829","4,052",0,0,,,,0,,
ARIZONA,PIMA,2015-3,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,01/30/2015,30,1,60,INSTALLED AND USED,60,150,30,"9,024","2,473","25,197","2,026",0,0,,,,0,,
ARIZONA,PIMA,2015-4,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,01/16/2015,30,2,90,INSTALLED AND USED,89,76,22,"6,802","1,238","16,352","3,039",0,0,,,,0,,
ARIZONA,PIMA,2015-5,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,03/30/2015,30,0,30,INSTALLED AND USED,29,136,34,"3,959","1,218",,,,,,,,,,
ARIZONA,PIMA,2015-6,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,04/20/2015,30,0,30,INSTALLED AND USED,30,55,12,"1,670",566,"11,016","1,013",,,,,,,,
ARIZONA,PIMA,2015-7,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,03/30/2015,30,1,60,INSTALLED AND USED,60,4801,145,"288,088","17,238","32,020","2,026",0,0,,,,0,,
ARIZONA,PIMA,2015-8,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,05/27/2015,30,0,30,INSTALLED AND USED,30,8,2,268,35,"21,722","1,013",,,,,,,,
ARIZONA,PIMA,2015-9,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,06/06/2015,30,1,60,INSTALLED AND USED,30,445,34,"13,363","2,161","11,563","1,013",,,,,,,,
ARIZONA,PIMA,2015-10,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,05/27/2015,30,0,30,INSTALLED AND USED,30,445,34,"13,363","2,161","11,563","1,013",,,,,,,,
ARIZONA,PIMA,2015-11,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,06/25/2015,30,0,30,INSTALLED AND USED,15,2,6,42,18,"4,686","1,013",,,,,,,,
ARIZONA,PIMA,2015-12,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,07/13/2015,30,1,60,INSTALLED AND USED,15,2,6,42,18,"4,686","1,013",,,,,,,,
ARIZONA,PIMA,2015-13,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,06/06/2015,30,1,60,INSTALLED AND USED,60,19,11,"1,177",205,"22,755","2,026",,,,,,,,
ARIZONA,PIMA,2015-14,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,07/13/2015,30,0,30,INSTALLED AND USED,30,7,5,238,74,"11,201","1,013",,,,,,,,
ARIZONA,PIMA,2015-15,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,06/25/2015,30,0,30,INSTALLED AND USED,60,19,11,"1,177",205,"22,755","2,026",,,,,,,,
ARIZONA,PIMA,2015-16,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,05/15/2015,30,3,120,INSTALLED AND USED,120,120,79,"14,458","3,278","25,483","4,052",,,,,,,,
ARIZONA,PIMA,2015-17,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,07/13/2015,30,0,30,INSTALLED AND USED,60,207,39,"12,449","1,329","23,039","2,026",,,,,,,,
ARIZONA,STATE ATTORNEY GENERAL,2016-1,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,07/08/2016,30,10,330,INSTALLED AND USED,124,,,,"1,925","213,711","15,897",17,0,0,0,0,6,,
ARIZONA,STATE ATTORNEY GENERAL,2017-2,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,03/07/2017,30,1,60,INSTALLED AND USED,40,,,,,"27,787",742,1,0,0,0,0,0,,
ARIZONA,STATE ATTORNEY GENERAL,2017-3,GATES,CROWLEY,DRUGS - ILLEGAL,WC,D,03/24/2017,30,2,90,INSTALLED AND USED,30,283,,"8,518",,"132,400","32,400",4,,,,,1,,
CALIFORNIA,ALAMEDA,2017-1,ROLEFSON,O'MALLEY,MURDER,WC,D,02/24/2017,30,0,30,INSTALLED AND USED,14,282,87,"3,949",423,"28,651","1,583",0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-2,ROLEFSON,O'MALLEY,MURDER,WC,D,01/27/2017,30,1,60,INSTALLED AND USED,42,684,390,"28,769","2,463","73,922","17,381",0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-3,ROLEFSON,O'MALLEY,MURDER,WC,D,02/14/2017,30,0,30,INSTALLED AND USED,24,132,73,"3,179",127,"26,660","3,175",0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-4,ROLEFSON,O'MALLEY,OTHER,WC,D,05/11/2017,30,0,30,INSTALLED AND USED,20,145,134,"2,912",211,"231,648","13,692",0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-5,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,05/11/2017,30,0,30,INSTALLED AND USED,20,45,141,914,146,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-6,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,05/24/2017,30,0,30,INSTALLED AND USED,10,35,99,358,66,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-7,ROLEFSON,O'MALLEY,OTHER,WC,D,05/24/2017,30,0,30,INSTALLED AND USED,10,64,96,643,58,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-8,ROLEFSON,O'MALLEY,OTHER,WC,D,06/12/2017,30,0,30,INSTALLED AND USED,4,159,45,636,3,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-9,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,06/19/2017,30,0,30,INSTALLED AND USED,19,326,193,"6,195","1,239","179,824","4,000",0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-10,ROLEFSON,O'MALLEY,OTHER,WC,D,06/21/2017,30,0,30,INSTALLED AND USED,20,20,76,406,7,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-11,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,06/23/2017,30,0,30,INSTALLED AND USED,27,0,5,8,1,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-12,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,06/21/2017,30,0,30,INSTALLED AND USED,29,49,235,"1,438",216,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-13,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,05/26/2017,30,1,60,INSTALLED AND USED,57,11,146,654,207,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-14,ROLEFSON,O'MALLEY,OTHER,WC,D,05/24/2017,30,1,60,INSTALLED AND USED,57,213,279,"12,144",468,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-15,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,06/12/2017,30,1,60,INSTALLED AND USED,42,33,144,"1,416",433,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-16,ROLEFSON,O'MALLEY,OTHER,WC,D,06/14/2017,30,1,60,INSTALLED AND USED,41,135,264,"5,552",706,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-17,ROLEFSON,O'MALLEY,OTHER,WC,D,07/14/2017,30,0,30,INSTALLED AND USED,29,95,126,"2,773",64,0,0,0,0,0,0,0,0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-18,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,08/17/2017,30,0,30,INSTALLED AND USED,31,154,"3,907","4,781",52,0,0,0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-19,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,08/31/2017,30,0,30,INSTALLED AND USED,22,260,"3,049","5,740",31,0,0,0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-20,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,09/05/2017,30,0,30,INSTALLED AND USED,17,131,640,"2,229",23,0,0,0,0,0,0,0,0,,
CALIFORNIA,ALAMEDA,2017-21,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,08/11/2017,30,1,60,INSTALLED AND USED,42,51,"1,019","2,182",34,"104,174","7,742",1,0,0,0,0,0,,
CALIFORNIA,BUTTE,2017-1,GLUSMAN,RAMSEY,MURDER,"WC,WS,TX","D,H",04/13/2017,17,0,17,INSTALLED AND USED,18,291,,"5,248",61,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-1,LAETTNER,PETERSON,MURDER,WC,D,06/09/2017,30,0,30,INSTALLED AND USED,2,28,10,57,0,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-2,LAETTNER,PETERSON,MURDER,WC,D,05/26/2017,30,0,30,INSTALLED AND USED,30,61,172,"1,859",179,"24,400","2,900",1,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-3,LAETTNER,PETERSON,MURDER,WC,D,06/02/2017,30,0,30,INSTALLED AND USED,26,167,185,"4,343",178,"199,300","15,300",1,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-4,LAETTNER,PETERSON,OTHER,WC,D,06/02/2017,30,0,30,INSTALLED AND USED,30,177,403,"5,336",505,"242,900","23,100",0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-5,LAETTNER,MACMASTER,OTHER,WC,D,06/16/2017,30,0,30,INSTALLED AND USED,27,24,32,652,78,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-6,LAETTNER,MACMASTER,MURDER,WC,D,06/28/2017,30,0,30,INSTALLED AND USED,18,106,147,"1,908",168,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-7,LAETTNER,MACMASTER,OTHER,WC,D,06/30/2017,30,0,30,INSTALLED AND USED,20,27,25,554,44,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-8,LAETTNER,MACMASTER,OTHER,WC,D,06/23/2017,30,0,30,INSTALLED AND USED,28,161,309,"4,522",270,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-9,LAETTNER,BECTON,OTHER,WC,D,10/02/2017,30,0,30,INSTALLED AND USED,28,351,"1,382","9,840","3,771","138,300","16,800",7,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-10,LAETTNER,BECTON,OTHER,WC,D,10/11/2017,30,0,30,INSTALLED AND USED,19,356,732,"6,771",518,0,0,0,0,0,0,0,0,,
CALIFORNIA,CONTRA COSTA,2017-11,LAETTNER,BECTON,MURDER,WC,D,12/11/2017,30,0,30,INSTALLED AND USED,18,73,353,"1,325",108,"26,850","2,600",0,0,0,0,0,0,,
CALIFORNIA,Fourth Appellate District,2017-1,THOMPSON,ENGLER,MURDER,"WC,TX",D,03/16/2017,30,0,30,INSTALLED AND USED,20,38,176,767,3,"33,200","2,000",0,0,0,0,0,0,,
CALIFORNIA,FRESNO,2017-1,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,07/13/2017,30,0,30,NEVER INSTALLED,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CALIFORNIA,FRESNO,2017-2,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,07/20/2017,30,1,50,INSTALLED AND USED,49,12313,"1,180","603,382",0,"204,293","6,857",10,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-1,PLOURD,OTERO,NARCOTICS,"WC,TX",D,01/04/2017,30,0,30,INSTALLED AND USED,30,0,1,3,0,"30,393","1,750",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-2,PLOURD,OTERO,NARCOTICS,WC,D,01/04/2017,30,0,30,INSTALLED AND USED,30,89,131,"2,670",916,"30,393","1,750",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-3,PLOURD,OTERO,NARCOTICS,"WC,TX",D,01/25/2017,30,0,30,INSTALLED AND USED,30,74,114,"2,223",279,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-4,PLOURD,OTERO,NARCOTICS,WC,D,02/14/2017,30,0,30,INSTALLED AND USED,30,131,149,"3,945",754,"30,393","1,750",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-5,PLOURD,OTERO,NARCOTICS,WC,D,02/14/2017,30,0,30,INSTALLED AND USED,30,39,53,"1,172",516,"30,393","1,750",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-6,PLOURD,OTERO,NARCOTICS,"WC,TX",D,03/06/2017,30,0,30,INSTALLED AND USED,30,173,230,"5,216",552,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-7,PLOURD,OTERO,NARCOTICS,"WC,TX",D,04/05/2017,30,0,30,INSTALLED AND USED,30,115,180,"3,478",697,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-8,PLOURD,OTERO,NARCOTICS,"WC,TX",D,05/16/2017,30,0,30,INSTALLED AND USED,30,421,285,"12,646",392,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-9,PLOURD,OTERO,NARCOTICS,WC,D,05/18/2017,30,0,30,INSTALLED AND USED,30,45,63,"1,359",27,"30,393","1,750",5,2,0,0,0,3,,
CALIFORNIA,IMPERIAL,2017-10,PLOURD,OTERO,NARCOTICS,"WC,TX",D,06/06/2017,30,0,30,INSTALLED AND USED,30,196,66,"5,901",436,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-11,PLOURD,OTERO,NARCOTICS,"WC,TX",D,06/27/2017,30,0,30,INSTALLED AND USED,30,323,136,"9,706",,"30,324","1,700",0,0,0,0,0,0,,
CALIFORNIA,IMPERIAL,2017-12,PLOURD,OTERO,NARCOTICS,WC,D,07/13/2017,30,0,30,INSTALLED AND USED,60,13,3,830,131,"15,667","1,013",0,0,0,0,0,0,,
CALIFORNIA,KERN,2017-1,BROWNLEE,GREEN,MURDER,"WC,TX",D,03/17/2017,30,0,30,INSTALLED AND USED,30,125,103,"3,775",81,"5,027,837","17,680",0,0,0,0,0,0,,
CALIFORNIA,KERN,2017-2,BROWNLEE,GREEN,MURDER,WC,D,03/08/2017,30,0,30,INSTALLED AND USED,60,112,92,"6,734",277,"540,918","17,680",0,0,0,0,0,0,,
CALIFORNIA,KERN,2017-3,BROWNLEE,GREEN,MURDER,WC,D,04/06/2017,30,0,30,INSTALLED AND USED,60,112,92,"6,734",277,0,0,0,0,0,0,0,0,,
CALIFORNIA,KERN,2017-4,BROWNLEE,GREEN,MURDER,"WC,TX",D,04/21/2017,30,0,30,INSTALLED AND USED,30,128,181,"3,850",365,0,0,6,6,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-1,FIDLER,LACEY,NARCOTICS,WC,D,11/01/2016,30,1,60,INSTALLED AND USED,60,78,165,"4,693",909,"40,000","4,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-2,FIDLER,LACEY,NARCOTICS,WC,D,12/02/2016,30,0,30,INSTALLED AND USED,30,62,30,"1,860",146,"40,000","4,000",2,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-3,FIDLER,LACEY,NARCOTICS,WC,D,12/06/2016,30,0,30,INSTALLED AND USED,30,3,12,100,18,"27,500","2,500",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-4,FIDLER,LACEY,NARCOTICS,WC,D,12/02/2016,30,0,30,INSTALLED AND USED,30,4,8,137,11,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-5,FIDLER,LACEY,NARCOTICS,WC,D,12/02/2016,30,0,30,INSTALLED AND USED,30,29,18,877,52,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-6,FIDLER,LACEY,NARCOTICS,WC,D,11/10/2016,30,1,60,INSTALLED AND USED,60,31,80,"1,870",738,"20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-7,FIDLER,LACEY,MURDER,WC,D,12/06/2016,30,0,30,INSTALLED AND USED,30,961,68,"28,839",289,"11,200","4,000",6,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-8,FIDLER,LACEY,NARCOTICS,WC,D,12/06/2016,30,0,30,INSTALLED AND USED,30,28,27,840,233,"20,000","2,000",4,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-9,FIDLER,LACEY,NARCOTICS,WC,D,09/09/2016,30,3,120,INSTALLED AND USED,120,18,12,"2,180",685,"64,700","16,700",1,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-10,FIDLER,LACEY,NARCOTICS,WC,D,12/12/2016,30,0,30,INSTALLED AND USED,27,10,21,276,135,"4,500","2,500",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-11,FIDLER,LACEY,MURDER,WC,D,11/16/2016,30,1,60,INSTALLED AND USED,60,763,366,"45,829","3,182","42,200","14,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-12,FIDLER,LACEY,NARCOTICS,WC,D,12/13/2016,30,1,30,INSTALLED AND USED,30,112,139,"3,364",316,"28,568","1,700",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-13,FIDLER,LACEY,NARCOTICS,WC,D,12/08/2016,30,0,30,INSTALLED AND USED,30,113,93,"3,404","1,372","42,040","15,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-14,FIDLER,LACEY,NARCOTICS,WC,D,09/18/2016,30,3,120,INSTALLED AND USED,111,200,254,"22,259","4,407","18,000","10,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-15,FIDLER,LACEY,NARCOTICS,WC,D,06/29/2016,30,6,210,INSTALLED AND USED,210,32,64,"6,897","3,686","31,500","17,500",5,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-16,FIDLER,LACEY,NARCOTICS,"WC,TX",D,12/21/2016,30,0,30,INSTALLED AND USED,30,69,32,"2,099",988,"31,000","5,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-17,FIDLER,LACEY,NARCOTICS,WC,D,12/21/2016,30,0,30,INSTALLED AND USED,30,53,64,"1,597",738,"20,000","2,000",4,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-18,FIDLER,LACEY,NARCOTICS,WC,D,11/22/2016,30,1,60,INSTALLED AND USED,60,22,134,"1,347",88,"40,000","4,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-19,FIDLER,LACEY,NARCOTICS,WC,D,11/23/2016,30,1,0,INSTALLED AND USED,60,45,56,"2,729",648,"55,000","5,000",1,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-20,FIDLER,LACEY,NARCOTICS,WC,D,12/29/2016,30,0,30,INSTALLED AND USED,30,27,11,838,101,"30,000","5,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-21,FIDLER,LACEY,NARCOTICS,WC,D,12/29/2016,30,0,30,INSTALLED AND USED,30,77,61,"2,326",195,"40,000","4,000",2,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-22,FIDLER,LACEY,NARCOTICS,WC,D,12/13/2016,30,1,49,INSTALLED AND USED,30,170,25,"5,120","1,168","31,000","5,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-23,FIDLER,LACEY,NARCOTICS,"WC,TX",D,11/23/2016,30,1,60,INSTALLED AND USED,60,165,120,"9,920","3,301","20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-24,FIDLER,LACEY,NARCOTICS,"WC,TX",D,11/04/2016,30,2,90,INSTALLED AND USED,90,84,43,"7,618","2,156","18,500","12,500",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-25,FIDLER,LACEY,NARCOTICS,WC,D,11/01/2016,30,2,90,INSTALLED AND USED,90,112,67,"10,143","1,486","20,000","2,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-26,FIDLER,LACEY,NARCOTICS,WC,D,12/06/2016,30,1,60,INSTALLED AND USED,55,208,8,"11,470","8,723","9,000","5,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-27,FIDLER,LACEY,NARCOTICS,"WC,TX",D,01/12/2017,30,0,30,INSTALLED AND USED,30,247,34,"7,428","1,468","31,000","5,000",0,0,0,0,0,0,,
CALIFORNIA,LOS ANGELES,2017-28,FIDLER,LACEY,NARCOTICS,WC,D,01/12/2017,30,0,30,INSTALLED AND USED,30,0,2,7,0,"20,000","2,000",0,0,0,0,0,0,,
