Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, NORTHERN",2017-10,HOPKINS,BLANCO,CONSPIRACY,"WC,OM,TX",D,02/10/2017,18,0,18,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-11,HOPKINS,BLANCO,DRUGS - ILLEGAL,"WC,TX","D,R",08/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-12,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,05/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-13,HOPKINS,BLANCO,DRUGS - ILLEGAL,WC,D,08/10/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-14,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,05/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-15,KALLON,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,05/25/2017,26,0,26,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2016-19,DUBOSE,,NARCOTICS,"WC,TX",D,04/25/2016,30,0,30,INSTALLED AND USED,30,38,44,"1,164",160,"26,392",943,0,0,0,0,0,0,,
"ALABAMA, SOUTHERN",2017-2,STEELE,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,06/28/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2017-3,STEELE,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,05/25/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2017-4,DUBOSE,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,03/06/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2014-217,COLLINS,DOWNING,NARCOTICS,TX,D,03/09/2014,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2015-283,ZAPATA,,NARCOTICS,EO,D,02/11/2015,30,0,30,INSTALLED AND USED,28,24,18,698,183,"23,424","1,504",0,0,0,0,0,0,,
ARIZONA,2015-284,ZAPATA,,NARCOTICS,EO,D,03/12/2015,30,0,30,INSTALLED AND USED,30,40,23,"1,200",150,"22,621","1,013",0,0,0,0,0,0,,
ARIZONA,2015-285,LOGAN,,FRAUD,EO,B,08/19/2015,30,2,90,INSTALLED AND USED,90,1,29,138,100,"33,222","4,700",11,0,0,0,0,0,,
ARIZONA,2016-351,HUMETEWA,,NARCOTICS,"WC,TX",D,02/19/2016,30,0,30,INSTALLED AND USED,29,260,232,"7,567","3,119","26,000","4,000",0,0,0,0,0,0,,
ARIZONA,2016-352,BURY,,NARCOTICS,WC,D,02/17/2016,30,1,60,INSTALLED AND USED,60,1601,987,"96,065","26,251","2,479,497","49,955",0,0,0,0,0,0,,RELATED TO NO. 2015-89
ARIZONA,2016-353,BURY,,NARCOTICS,TX,D,02/03/2016,30,1,60,INSTALLED AND USED,58,720,78,"41,817","9,945","66,547","6,000",0,0,0,0,0,0,,
ARIZONA,2016-354,ZAPATA,,NARCOTICS,TX,D,04/06/2016,30,0,30,INSTALLED AND USED,27,133,91,"3,604","2,282","35,790","2,256",0,0,0,0,0,0,,
ARIZONA,2016-355,MARQUEZ,,NARCOTICS,"WC,TX",D,04/12/2016,30,0,30,INSTALLED AND USED,29,27,35,785,70,"40,464","1,700",17,0,0,0,0,0,,
ARIZONA,2016-356,BURY,,NARCOTICS,"WC,TX",D,04/25/2016,30,0,30,INSTALLED AND USED,29,0,0,0,0,"54,190","1,200",4,0,0,0,0,0,,
ARIZONA,2016-357,MARQUEZ,,NARCOTICS,"WC,TX",D,05/12/2016,30,0,30,INSTALLED AND USED,29,64,63,"1,884",945,"42,146","3,400",0,0,0,0,0,0,,RELATED TO NO. 2016-355
ARIZONA,2016-358,JORGENSON,,NARCOTICS,"WC,TX",D,07/05/2016,30,0,30,INSTALLED AND USED,30,30,41,915,109,"24,727","2,650",0,0,0,0,0,0,,
ARIZONA,2016-359,ZAPATA,,NARCOTICS,TX,D,04/05/2016,30,2,90,INSTALLED AND USED,87,379,70,"33,031","10,902","77,122","6,000",0,0,0,0,0,0,,
ARIZONA,2016-360,MARQUEZ,,NARCOTICS,TX,D,03/18/2016,30,2,90,INSTALLED AND USED,87,1395,297,"121,369","27,439","189,540","26,000",0,0,0,0,0,0,,
ARIZONA,2016-361,ZAPATA,,NARCOTICS,TX,D,03/08/2016,30,5,180,INSTALLED AND USED,178,40,50,"7,204","4,919","225,588","4,512",0,0,0,0,0,0,,
ARIZONA,2016-362,ZAPATA,,NARCOTICS,TX,D,05/04/2016,30,3,120,INSTALLED AND USED,120,106,93,"12,750","8,328","57,427","3,760",0,0,0,0,0,0,,
ARIZONA,2016-363,HUMETEWA,,NARCOTICS,"WC,TX",D,08/26/2016,30,0,30,INSTALLED AND USED,11,1,6,21,7,"40,874","4,752",0,0,0,0,0,0,,
ARIZONA,2016-364,TUCHI,,NARCOTICS,"WC,TX",D,08/12/2016,30,0,30,INSTALLED AND USED,30,112,68,"3,377",940,"23,150","2,242",0,0,0,0,0,0,,
ARIZONA,2016-365,HUMETEWA,,NARCOTICS,"WC,TX",D,07/25/2016,30,1,60,INSTALLED AND USED,60,27,11,"1,669",292,"81,528","7,008",0,0,0,0,0,0,,
ARIZONA,2016-366,BURY,,NARCOTICS,TX,D,09/07/2016,30,0,30,INSTALLED AND USED,30,3,20,119,89,"8,788","2,000",0,0,0,0,0,0,,
ARIZONA,2016-367,HUMETEWA,,NARCOTICS,"WC,TX",D,09/30/2016,30,0,30,INSTALLED AND USED,30,100,65,"3,013",694,"49,152","5,504",0,0,0,0,0,0,,
ARIZONA,2016-368,SNOW,,NARCOTICS,"WC,TX",D,10/04/2016,30,0,30,INSTALLED AND USED,30,21,19,645,145,"23,459",673,0,0,0,0,0,0,,
ARIZONA,2016-369,ZAPATA,,NARCOTICS,TX,D,07/14/2016,30,2,90,INSTALLED AND USED,90,676,86,"60,843","9,071","104,846","10,000",2,0,0,0,0,0,,
ARIZONA,2016-370,ZAPATA,,NARCOTICS,TX,D,09/07/2016,30,2,90,INSTALLED AND USED,90,22,41,"2,033","1,230","62,883","4,773",0,0,0,0,0,0,,
ARIZONA,2016-371,ZAPATA,,NARCOTICS,TX,D,11/30/2016,30,0,30,INSTALLED AND USED,16,0,1,4,2,"20,624",752,0,0,0,0,0,0,,
ARIZONA,2016-372,ZAPATA,,NARCOTICS,"WC,TX",D,10/12/2016,30,1,60,INSTALLED AND USED,60,42,98,"2,577","1,031","45,067","1,250",0,0,0,0,0,0,,
ARIZONA,2016-373,ZAPATA,HULSER,NARCOTICS,"WC,EO",D,10/19/2016,30,1,60,INSTALLED AND USED,60,,,,,,,,,,,,,,
ARIZONA,2016-425,ZAPATA,BLANCO,NARCOTICS,TX,D,08/17/2016,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2016-474,HUMETEWA,DOWNING,NARCOTICS,"WC,TX,EO",D,11/24/2015,30,11,360,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-27,SNOW,,NARCOTICS,"WC,TX",D,09/12/2016,30,3,120,INSTALLED AND USED,99,0,0,0,0,"49,418","2,692",0,0,0,0,0,0,,
ARIZONA,2017-28,BURY,,NARCOTICS,"WC,TX",D,01/19/2017,30,0,30,INSTALLED AND USED,15,2,2,33,20,"11,026",643,0,0,0,0,0,0,,
ARIZONA,2017-29,HUMETEWA,,NARCOTICS,"WC,TX",D,11/03/2016,30,2,90,INSTALLED AND USED,90,114,168,"10,348","2,947","112,806","5,504",15,0,0,0,0,0,,
ARIZONA,2017-30,ZAPATA,,NARCOTICS,TX,D,01/09/2017,30,0,30,INSTALLED AND USED,30,180,102,"5,428","2,343","39,516","2,256",0,0,0,0,0,0,,
ARIZONA,2017-31,ZAPATA,,NARCOTICS,TX,D,11/03/2016,30,2,90,INSTALLED AND USED,90,35,46,"3,164","1,860","120,866","2,256",0,0,0,0,0,0,,
ARIZONA,2017-32,ZAPATA,,NARCOTICS,TX,D,10/06/2016,30,3,120,INSTALLED AND USED,120,0,0,0,0,"228,434","8,303",0,0,0,0,0,0,,
ARIZONA,2017-33,ZAPATA,,NARCOTICS,"WC,TX",D,02/03/2017,30,0,30,INSTALLED AND USED,30,9,46,270,63,"21,729","1,875",0,0,0,0,0,0,,
ARIZONA,2017-35,LOGAN,,NARCOTICS,TX,D,02/14/2017,30,0,30,INSTALLED AND USED,30,16,13,509,69,"7,240","1,013",0,0,0,0,0,0,,
ARIZONA,2017-36,SNOW,,NARCOTICS,"WC,TX",D,03/06/2017,30,0,30,INSTALLED AND USED,30,6,37,196,50,"24,270","2,110",0,0,0,0,0,0,,
ARIZONA,2017-37,COLLINS,,NARCOTICS,"WC,TX",D,03/09/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"32,185","3,200",0,0,0,0,0,0,,
ARIZONA,2017-38,LOGAN,,NARCOTICS,TX,D,04/11/2017,30,0,30,INSTALLED AND USED,8,44,10,359,119,"3,912","1,013",4,0,0,0,0,0,,
ARIZONA,2017-39,SNOW,,NARCOTICS,TX,D,03/24/2017,30,0,30,INSTALLED AND USED,30,31,16,949,155,"23,700","1,700",0,0,0,0,0,0,,
ARIZONA,2017-40,LOGAN,,NARCOTICS,WC,D,04/18/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,,,0,0,0,0,0,0,RELATED TO NO. 2017-41,RELATED TO NO. 2017-50
ARIZONA,2017-41,HUMETEWA,,NARCOTICS,TX,D,03/15/2017,30,1,60,INSTALLED AND USED,59,18,19,"1,116",183,"22,644","2,026",0,0,0,0,0,0,,RELATED TO NO. 2017-50
ARIZONA,2017-42,BURY,,NARCOTICS,"WC,TX",D,04/25/2017,30,0,30,INSTALLED AND USED,30,164,224,"4,927",420,"25,382","1,600",29,0,0,0,0,0,,
ARIZONA,2017-43,BURY,,NARCOTICS,"WC,TX",D,02/03/2017,30,2,90,INSTALLED AND USED,90,116,249,"10,466",489,"58,967","4,800",0,0,0,0,0,0,,RELATED TO NO. 2017-42
ARIZONA,2017-44,WAKE,,NARCOTICS,"WC,TX",D,03/15/2017,30,1,60,INSTALLED AND USED,60,0,0,0,0,"24,938","4,375",0,0,0,0,0,0,,
ARIZONA,2017-45,LOGAN,,NARCOTICS,"WC,TX",D,05/16/2017,30,0,30,INSTALLED AND USED,16,3,18,48,5,"4,960","1,700",0,0,0,0,0,0,,
ARIZONA,2017-46,SNOW,,NARCOTICS,"WC,TX",D,04/28/2017,30,0,30,INSTALLED AND USED,30,0,0,0,0,"75,611","4,783",0,0,0,0,0,0,,
ARIZONA,2017-47,SNOW,,NARCOTICS,"WC,TX",D,03/17/2017,30,1,60,INSTALLED AND USED,60,0,0,0,0,"25,380","4,220",0,0,0,0,0,0,,
ARIZONA,2017-48,CAMPBELL,,NARCOTICS,"WC,TX",D,05/04/2017,30,0,30,INSTALLED AND USED,30,130,76,"3,906","1,257","21,643",643,3,0,0,0,0,0,,
ARIZONA,2017-49,LOGAN,,NARCOTICS,"WC,TX",D,06/01/2017,30,0,30,INSTALLED AND USED,30,37,41,"1,119",490,"22,714","1,700",0,0,0,0,0,0,,
ARIZONA,2017-50,LOGAN,,NARCOTICS,"WC,TX",D,06/26/2017,30,0,30,INSTALLED AND USED,30,15,43,473,362,"9,111","1,600",1,0,0,0,0,0,,
ARIZONA,2017-51,BURY,,NARCOTICS,WC,D,04/06/2016,30,16,510,INSTALLED AND USED,510,0,0,0,0,0,0,0,0,0,0,0,0,RELATED TO NO. 2016-352,RELATED TO NO. 2015-89
ARIZONA,2017-52,RAYES,,NARCOTICS,WC,D,09/12/2017,30,1,60,INSTALLED AND USED,60,753,50,"45,205","6,210","415,430","1,600",20,0,0,0,0,0,,
ARIZONA,2017-53,CAMPBELL,SWARTZ,NARCOTICS,"WC,TX,EO",D,09/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-54,ZAPATA,HULSER,NARCOTICS,TX,D,09/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-55,ZAPATA,HULSER,NARCOTICS,TX,D,09/13/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-56,COLLINS,DOWNING,NARCOTICS,TX,D,03/09/2017,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-58,ZIPPS,,NARCOTICS,"WC,EO",D,07/20/2017,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-59,LOGAN,SWARTZ,NARCOTICS,"WC,TX,EO",D,04/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-60,SNOW,,NARCOTICS,"WC,TX,EO",D,03/20/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-61,CAMPBELL,,NARCOTICS,"WC,TX,EO",D,03/28/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-62,ZAPATA,BLANCO,NARCOTICS,TX,D,08/17/2016,30,4,150,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-63,SNOW,DOWNING,NARCOTICS,"WC,TX,EO",D,11/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-64,BURY,,NARCOTICS,"WO,TX",D,11/17/2016,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-65,BURY,BLANCO,NARCOTICS,TX,D,12/16/2016,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-66,TUCHI,,NARCOTICS,"WC,TX,EO",D,03/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-67,LOGAN,,NARCOTICS,"WC,TX,EO",D,03/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-68,ZAPATA,HULSER,NARCOTICS,TX,D,07/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-69,ZAPATA,,NARCOTICS,TX,D,01/11/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-70,ZAPATA,HULSER,NARCOTICS,TX,D,07/06/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-71,SNOW,,NARCOTICS,"WC,TX,EO",D,03/09/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-72,ZAPATA,HULSER,NARCOTICS,TX,D,07/06/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-73,ZAPATA,HULSER,NARCOTICS,TX,D,09/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-74,ZAPATA,HULSER,OTHER,TX,D,06/07/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-75,ZAPATA,,OTHER,TX,D,01/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-76,ZAPATA,HULSER,NARCOTICS,TX,D,11/13/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-77,ZAPATA,,OTHER,TX,D,01/17/2017,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-79,ZAPATA,HULSER,NARCOTICS,TX,D,07/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-80,ZAPATA,BLANCO,NARCOTICS,"WC,EO",D,04/05/2017,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-81,BURY,,NARCOTICS,"WC,OO,TX",D,09/20/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-82,ZAPATA,,NARCOTICS,"WC,EO",D,09/27/2017,30,2,90,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-83,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,10/16/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-84,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,03/17/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-85,ZAPATA,DOWNING,SMUGGLING,"WC,TX",D,10/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-86,CAMPBELL,HULSER,NARCOTICS,"WC,EO",D,06/29/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-87,ZAPATA,HULSER,DRUGS - ILLEGAL,"WC,EO",D,05/01/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-88,ZAPATA,HULSER,DRUGS - ILLEGAL,"WC,EO",D,06/07/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-89,ZAPATA,,DRUGS - ILLEGAL,"WC,EO",D,01/18/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-90,LOGAN,,NARCOTICS,"WC,EO",D,08/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-91,CAMPBELL,HULSER,NARCOTICS,"WC,TX,EO",D,10/20/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-92,CAMPBELL,HULSER,NARCOTICS,"WC,TX,EO",D,09/12/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-93,SNOW,HULSER,NARCOTICS,"WC,TX,EO",D,08/11/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-94,LOGAN,SWARTZ,NARCOTICS,"WC,TX,EO",D,11/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-95,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,09/08/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-96,LOGAN,DOWNING,NARCOTICS,"WC,TX,EO",D,09/12/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-97,SNOW,,NARCOTICS,"WC,TX,EO",D,09/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-98,LOGAN,HULSER,NARCOTICS,"WC,TX,EO",D,08/28/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-99,CAMPBELL,HULSER,NARCOTICS,"WC,EO",D,05/30/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-100,LOGAN,HULSER,NARCOTICS,"WC,EO",D,08/24/2017,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-101,CAMPBELL,DOWNING,NARCOTICS,"WC,TX,EO",D,05/05/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-102,SNOW,DOWNING,NARCOTICS,"WC,TX,EO",D,07/18/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-103,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,03/17/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-104,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,04/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-105,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,05/17/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-106,BURY,BLANCO,NARCOTICS,TX,D,12/16/2016,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-107,SNOW,HULSER,NARCOTICS,"WC,TX,EO",D,03/20/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-108,SNOW,HULSER,NARCOTICS,"WC,TX,EO",D,05/02/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-109,BURY,,NARCOTICS,"WO,TX",D,02/09/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-110,ZAPATA,HULSER,NARCOTICS,"WC,OM,TX",D,10/11/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-111,LOGAN,,NARCOTICS,"WC,TX,EO",D,06/02/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-112,ZAPATA,,NARCOTICS,"WC,EO",D,11/03/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-113,LOGAN,HULSER,NARCOTICS,"WC,TX,EO",D,06/27/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-114,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,04/27/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-115,LOGAN,DOWNING,NARCOTICS,"WC,TX,EO",D,06/19/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-116,CAMPBELL,,NARCOTICS,"WC,TX,EO",D,06/29/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-117,ZAPATA,HULSER,NARCOTICS,TX,D,10/07/2016,30,3,120,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-118,COLLINS,HULSER,NARCOTICS,"WC,OO,TX",D,07/10/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-119,ZAPATA,,NARCOTICS,"WC,EO",D,02/22/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,RELATED TO NO. 2017-120,RELATED TO NO. 2017-120
ARIZONA,2017-120,ZAPATA,,NARCOTICS,"WC,EO",D,03/06/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-121,BURY,,DRUGS - ILLEGAL,"WC,OM,TX",D,01/23/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-122,TUCHI,,IMMIGRATION,"WC,TX",D,02/14/2017,30,0,30,INSTALLED AND USED,,,,,,,,,,,,,,,
ARIZONA,2017-123,ZAPATA,BLANCO,NARCOTICS,"WC,EO",D,01/19/2017,30,1,60,NO PROSECUTOR REPORT,,,,,,,,,,,,,,RELATED TO NO. 2017-120,RELATED TO NO. 2017-120
ARIZONA,2017-124,LOGAN,,NARCOTICS,"WC,TX,EO",D,02/15/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-125,HUMETEWA,DOWNING,NARCOTICS,"WC,TX,EO",D,01/09/2017,30,0,30,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
