,Jurisdiction,A.O. Number,Judge,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related,year,month
51,ARIZONA,2016-373,ZAPATA,NARCOTICS,"WC,EO",D,2016-10-19,30.0,1.0,60.0,INSTALLED AND USED,60.0,,,,,,,,,,,,,,,2016.0,10.0
54,ARIZONA,2017-27,SNOW,NARCOTICS,"WC,TX",D,2016-09-12,30.0,3.0,120.0,INSTALLED AND USED,99.0,0.0,0,0,0,49418,"2,692",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
55,ARIZONA,2017-28,BURY,NARCOTICS,"WC,TX",D,2017-01-19,30.0,0.0,30.0,INSTALLED AND USED,15.0,2.0,2,33,20,11026,643,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,1.0
56,ARIZONA,2017-29,HUMETEWA,NARCOTICS,"WC,TX",D,2016-11-03,30.0,2.0,90.0,INSTALLED AND USED,90.0,114.0,168,"10,348","2,947",112806,"5,504",15.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
57,ARIZONA,2017-30,ZAPATA,NARCOTICS,TX,D,2017-01-09,30.0,0.0,30.0,INSTALLED AND USED,30.0,180.0,102,"5,428","2,343",39516,"2,256",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,1.0
58,ARIZONA,2017-31,ZAPATA,NARCOTICS,TX,D,2016-11-03,30.0,2.0,90.0,INSTALLED AND USED,90.0,35.0,46,"3,164","1,860",120866,"2,256",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
59,ARIZONA,2017-32,ZAPATA,NARCOTICS,TX,D,2016-10-06,30.0,3.0,120.0,INSTALLED AND USED,120.0,0.0,0,0,0,228434,"8,303",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
60,ARIZONA,2017-33,ZAPATA,NARCOTICS,"WC,TX",D,2017-02-03,30.0,0.0,30.0,INSTALLED AND USED,30.0,9.0,46,270,63,21729,"1,875",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
61,ARIZONA,2017-35,LOGAN,NARCOTICS,TX,D,2017-02-14,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,13,509,69,7240,"1,013",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
62,ARIZONA,2017-36,SNOW,NARCOTICS,"WC,TX",D,2017-03-06,30.0,0.0,30.0,INSTALLED AND USED,30.0,6.0,37,196,50,24270,"2,110",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
63,ARIZONA,2017-37,COLLINS,NARCOTICS,"WC,TX",D,2017-03-09,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,32185,"3,200",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
64,ARIZONA,2017-38,LOGAN,NARCOTICS,TX,D,2017-04-11,30.0,0.0,30.0,INSTALLED AND USED,8.0,44.0,10,359,119,3912,"1,013",4.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,4.0
65,ARIZONA,2017-39,SNOW,NARCOTICS,TX,D,2017-03-24,30.0,0.0,30.0,INSTALLED AND USED,30.0,31.0,16,949,155,23700,"1,700",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
66,ARIZONA,2017-40,LOGAN,NARCOTICS,WC,D,2017-04-18,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-41,RELATED TO NO. 2017-50,2017.0,4.0
67,ARIZONA,2017-41,HUMETEWA,NARCOTICS,TX,D,2017-03-15,30.0,1.0,60.0,INSTALLED AND USED,59.0,18.0,19,"1,116",183,22644,"2,026",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-50,2017.0,3.0
68,ARIZONA,2017-42,BURY,NARCOTICS,"WC,TX",D,2017-04-25,30.0,0.0,30.0,INSTALLED AND USED,30.0,164.0,224,"4,927",420,25382,"1,600",29.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,4.0
69,ARIZONA,2017-43,BURY,NARCOTICS,"WC,TX",D,2017-02-03,30.0,2.0,90.0,INSTALLED AND USED,90.0,116.0,249,"10,466",489,58967,"4,800",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-42,2017.0,2.0
70,ARIZONA,2017-44,WAKE,NARCOTICS,"WC,TX",D,2017-03-15,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,24938,"4,375",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
71,ARIZONA,2017-45,LOGAN,NARCOTICS,"WC,TX",D,2017-05-16,30.0,0.0,30.0,INSTALLED AND USED,16.0,3.0,18,48,5,4960,"1,700",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,5.0
72,ARIZONA,2017-46,SNOW,NARCOTICS,"WC,TX",D,2017-04-28,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,75611,"4,783",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,4.0
73,ARIZONA,2017-47,SNOW,NARCOTICS,"WC,TX",D,2017-03-17,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,25380,"4,220",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,3.0
74,ARIZONA,2017-48,CAMPBELL,NARCOTICS,"WC,TX",D,2017-05-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,130.0,76,"3,906","1,257",21643,643,3.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,5.0
75,ARIZONA,2017-49,LOGAN,NARCOTICS,"WC,TX",D,2017-06-01,30.0,0.0,30.0,INSTALLED AND USED,30.0,37.0,41,"1,119",490,22714,"1,700",0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,6.0
76,ARIZONA,2017-50,LOGAN,NARCOTICS,"WC,TX",D,2017-06-26,30.0,0.0,30.0,INSTALLED AND USED,30.0,15.0,43,473,362,9111,"1,600",1.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,6.0
77,ARIZONA,2017-51,BURY,NARCOTICS,WC,D,2016-04-06,30.0,16.0,510.0,INSTALLED AND USED,510.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-352,RELATED TO NO. 2015-89,2016.0,4.0
78,ARIZONA,2017-52,RAYES,NARCOTICS,WC,D,2017-09-12,30.0,1.0,60.0,INSTALLED AND USED,60.0,753.0,50,"45,205","6,210",415430,"1,600",20.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,9.0
146,ARIZONA,2017-122,TUCHI,IMMIGRATION,"WC,TX",D,2017-02-14,30.0,0.0,30.0,INSTALLED AND USED,,,,,,,,,,,,,,,,2017.0,2.0
150,ARIZONA,2017-126,TUCHI,IMMIGRATION,"WC,TX",D,2017-04-04,30.0,0.0,30.0,INSTALLED AND USED,,,,,,,,,,,,,,,,2017.0,4.0
160,"ARKANSAS, EASTERN",2015-41,WEBBER WRIGHT,NARCOTICS,"WC,TX",D,2015-02-10,30.0,1.0,60.0,INSTALLED AND USED,58.0,4.0,48,268,156,52652,"3,475",0.0,0.0,0.0,0.0,0.0,0.0,,,2015.0,2.0
161,"ARKANSAS, EASTERN",2016-42,WEBBER WRIGHT,NARCOTICS,"WC,TX",D,2016-02-11,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,75770,"1,250",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,2.0
162,"ARKANSAS, EASTERN",2016-43,"MARSHALL, JR.",NARCOTICS,WC,D,2016-04-21,30.0,0.0,30.0,INSTALLED AND USED,30.0,287.0,170,"8,635","1,092",34370,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,4.0
163,"ARKANSAS, EASTERN",2016-44,"MARSHALL, JR.",NARCOTICS,"WC,TX",D,2016-05-31,30.0,0.0,30.0,INSTALLED AND USED,13.0,19.0,13,253,79,16771,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,5.0
164,"ARKANSAS, EASTERN",2016-45,"MARSHALL, JR.",NARCOTICS,WC,D,2016-09-13,30.0,0.0,30.0,INSTALLED AND USED,20.0,50.0,21,"1,014",169,17375,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,9.0
165,"ARKANSAS, EASTERN",2016-46,"MARSHALL, JR.",NARCOTICS,"WC,TX",D,2016-08-30,30.0,0.0,30.0,INSTALLED AND USED,30.0,114.0,66,"3,439",68,26221,475,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,8.0
166,"ARKANSAS, EASTERN",2016-47,"MOODY, JR.",NARCOTICS,"WC,TX",D,2016-11-28,30.0,0.0,30.0,INSTALLED AND USED,30.0,125.0,42,"3,763","1,785",7767,500,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,11.0
167,"ARKANSAS, EASTERN",2017-8,WILSON,CONSPIRACY,WC,D,2016-12-13,30.0,0.0,30.0,INSTALLED AND USED,30.0,32.0,5,982,13,14521,625,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-39,2016.0,12.0
168,"ARKANSAS, EASTERN",2017-9,MILLER,NARCOTICS,"WC,TX",D,2017-01-26,30.0,0.0,30.0,INSTALLED AND USED,23.0,113.0,215,"2,614",707,37885,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,1.0
169,"ARKANSAS, EASTERN",2017-10,"MARSHALL, JR.",NARCOTICS,"WC,TX",D,2016-12-23,30.0,1.0,60.0,INSTALLED AND USED,60.0,76.0,71,"4,584","2,216",83208,"1,250",45.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,12.0
170,"ARKANSAS, EASTERN",2017-11,MILLER,NARCOTICS,WC,D,2017-02-15,30.0,0.0,30.0,INSTALLED AND USED,12.0,16.0,34,197,106,9036,500,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
171,"ARKANSAS, EASTERN",2017-12,BAKER,NARCOTICS,"WC,TX",D,2017-02-17,30.0,1.0,60.0,INSTALLED AND USED,34.0,97.0,30,"3,311",698,63692,"1,250",23.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,2.0
172,"ARKANSAS, EASTERN",2017-13,"HOLMES, III",NARCOTICS,"WC,TX",D,2017-03-21,30.0,0.0,30.0,INSTALLED AND USED,10.0,5.0,15,57,0,16493,625,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-12,2017.0,3.0
173,"ARKANSAS, EASTERN",2017-14,BAKER,NARCOTICS,"WC,TX",D,2017-03-17,30.0,0.0,30.0,INSTALLED AND USED,24.0,200.0,25,"4,818",250,39782,"1,700",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-12,2017.0,3.0
174,"ARKANSAS, EASTERN",2017-15,BAKER,NARCOTICS,"WC,TX",D,2017-03-15,30.0,0.0,30.0,INSTALLED AND USED,30.0,105.0,15,"3,161",398,48229,625,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-12,2017.0,3.0
175,"ARKANSAS, EASTERN",2017-16,HOLMES,CONSPIRACY,WC,D,2017-04-20,30.0,0.0,30.0,INSTALLED AND USED,30.0,193.0,11,"5,816",218,25539,775,2.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,4.0
176,"ARKANSAS, EASTERN",2017-17,MILLER,NARCOTICS,WC,D,2017-05-03,30.0,0.0,30.0,INSTALLED AND USED,28.0,7.0,42,214,111,24309,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,5.0
177,"ARKANSAS, EASTERN",2017-18,WRIGHT,CONSPIRACY,WC,D,2017-07-11,30.0,0.0,30.0,INSTALLED AND USED,16.0,27.0,1,440,0,2569,475,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,7.0
178,"ARKANSAS, EASTERN",2017-19,HOLMES,CONSPIRACY,WC,D,2017-07-06,30.0,0.0,30.0,INSTALLED AND USED,30.0,232.0,17,"6,960",855,46676,799,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-5,2017.0,7.0
197,"ARKANSAS, WESTERN",2016-26,"HOLMES, III",NARCOTICS,"WC,TX",D,2016-06-29,30.0,0.0,30.0,INSTALLED AND USED,21.0,41.0,8,880,205,26075,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,6.0
198,"ARKANSAS, WESTERN",2016-27,BROOKS,NARCOTICS,"WC,TX",D,2016-10-26,30.0,0.0,30.0,INSTALLED AND USED,30.0,42.0,16,"1,288",411,29013,"3,400",0.0,0.0,0.0,0.0,0.0,0.0,,,2016.0,10.0
199,"ARKANSAS, WESTERN",2017-3,"HOLMES, III",CONSPIRACY,WC,D,2017-04-06,30.0,0.0,30.0,INSTALLED AND USED,30.0,319.0,23,"9,587",466,36185,775,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-22,2017.0,4.0
200,"ARKANSAS, WESTERN",2017-4,HICKEY,CONSPIRACY,WC,D,2017-06-28,30.0,0.0,30.0,INSTALLED AND USED,30.0,240.0,21,"7,219",78,48372,625,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,6.0
201,"ARKANSAS, WESTERN",2017-5,HICKEY,CONSPIRACY,WC,D,2017-08-01,30.0,0.0,30.0,INSTALLED AND USED,29.0,145.0,23,"4,229",80,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,RELATED TO NO. 2017-4,2017.0,8.0
202,"ARKANSAS, WESTERN",2017-6,HICKEY,CONSPIRACY,WC,D,2017-09-15,30.0,0.0,30.0,INSTALLED AND USED,18.0,6.0,4,121,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,RELATED TO NO. 2017-4,2017.0,9.0
203,"ARKANSAS, WESTERN",2017-7,BROOKS,CONSPIRACY,WC,D,2017-09-08,30.0,1.0,60.0,INSTALLED AND USED,58.0,74.0,23,"4,310",252,24580,230,0.0,0.0,0.0,0.0,0.0,0.0,,,2017.0,9.0
216,"CALIFORNIA, CENTRAL",2011-102,GUILFORD,CONSPIRACY,WC,D,2011-05-18,30.0,3.0,120.0,INSTALLED AND USED,120.0,56.0,119,"6,838","1,774",394429,"28,712",130.0,0.0,0.0,0.0,0.0,70.0,,,2011.0,5.0
217,"CALIFORNIA, CENTRAL",2012-145,CARTER,NARCOTICS,WC,D,2012-01-24,30.0,0.0,30.0,INSTALLED AND USED,13.0,0.0,0,0,0,21638,"1,300",0.0,0.0,0.0,0.0,0.0,0.0,,,2012.0,1.0
218,"CALIFORNIA, CENTRAL",2012-146,CARNEY,OTHER,WC,D,2011-09-19,30.0,4.0,150.0,INSTALLED AND USED,150.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,2011.0,9.0
219,"CALIFORNIA, CENTRAL",2012-147,KLAUSNER,NARCOTICS,WC,D,2012-04-24,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,21772,825,0.0,0.0,0.0,0.0,0.0,0.0,,,2012.0,4.0
220,"CALIFORNIA, CENTRAL",2012-148,CARNEY,CONSPIRACY,WC,D,2011-09-16,30.0,6.0,210.0,INSTALLED AND USED,210.0,87.0,372,"18,428","9,462",0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-102,RELATED TO NO. 2011-102,2011.0,9.0
221,"CALIFORNIA, CENTRAL",2012-149,CARTER,CONSPIRACY,WC,D,2012-04-11,30.0,4.0,150.0,INSTALLED AND USED,150.0,59.0,253,"8,967","4,691",0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-102,RELATED TO NO. 2011-102,2012.0,4.0
222,"CALIFORNIA, CENTRAL",2012-150,MORROW,NARCOTICS,"WC,TX",D,2012-11-08,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,22047,"1,100",0.0,0.0,0.0,0.0,0.0,0.0,,,2012.0,11.0
223,"CALIFORNIA, CENTRAL",2013-122,MORROW,NARCOTICS,"WC,TX",D,2013-02-08,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,32808,"1,400",0.0,0.0,0.0,0.0,0.0,0.0,,,2013.0,2.0
224,"CALIFORNIA, CENTRAL",2013-123,BERNAL,OTHER,WC,D,2013-08-14,30.0,1.0,60.0,INSTALLED AND USED,60.0,88.0,58,"5,287",0,92448,"5,136",0.0,0.0,0.0,0.0,0.0,0.0,,,2013.0,8.0
225,"CALIFORNIA, CENTRAL",2013-124,FEESS,NARCOTICS,WC,D,2013-10-11,30.0,1.0,60.0,INSTALLED AND USED,59.0,0.0,5,25,5,66368,"2,100",2.0,0.0,0.0,0.0,0.0,0.0,,,2013.0,10.0
226,"CALIFORNIA, CENTRAL",2014-251,COLLINS,POSSESSION,WC,D,2014-05-09,30.0,0.0,30.0,INSTALLED AND USED,30.0,4.0,12,125,125,12841,625,2.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,5.0
227,"CALIFORNIA, CENTRAL",2014-252,O'CONNELL,NARCOTICS,"WC,TX",D,2014-05-30,30.0,0.0,30.0,INSTALLED AND USED,29.0,353.0,327,"10,240","1,467",48936,"2,490",3.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,5.0
228,"CALIFORNIA, CENTRAL",2014-253,COLLINS,NARCOTICS,TX,D,2014-07-07,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,28551,"2,500",0.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,7.0
229,"CALIFORNIA, CENTRAL",2014-254,KRONSTADT,CONSPIRACY,WC,D,2014-08-04,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,72,482,185,12995,"1,600",0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-251,2014.0,8.0
230,"CALIFORNIA, CENTRAL",2014-255,WILSON,CONSPIRACY,WC,D,2014-08-07,30.0,0.0,30.0,INSTALLED AND USED,30.0,7.0,27,222,0,22338,642,0.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,8.0
231,"CALIFORNIA, CENTRAL",2014-256,O'CONNELL,NARCOTICS,WC,D,2014-08-21,30.0,0.0,30.0,INSTALLED AND USED,29.0,81.0,40,"2,362",145,63288,"2,325",0.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,8.0
232,"CALIFORNIA, CENTRAL",2014-257,REAL,NARCOTICS,"WC,TX",D,2014-10-01,30.0,0.0,30.0,INSTALLED AND USED,29.0,164.0,67,"4,780",330,27783,"1,600",0.0,0.0,0.0,0.0,0.0,0.0,,,2014.0,10.0
